m-2,m-1,m1,m2,c-2,c-1,c1,c2,sens
expect,declines,rates,X,VBP,NNS,NNS,X,6
indicate,declining,rates,permit,VB,VBG,NNS,VBP,6
rises,shortXterm,rates,X,NNS,JJ,NNS,X,6
83X4,PERCENT,energyXservices,company,AB,NN,JJ,NN,5
holding,company,mechanical,engineering,VBG,NN,JJ,NN,5
X,plus,X,X,X,CC,X,X,6
curry,set,rate,refund,NP,VBD,NN,NN,6
country,Xs,X,prompted,NN,POS,X,VBD,4
reduction,principal,way,debt,NN,NN,NN,NN,6
right,increase,70,PERCENT,NN,VB,AB,NN,5
show,strong,japanese,investors,VBP,JJ,JJ,NNS,1
retired,early,rates,decline,VBN,RB,NNS,VBP,6
X,drop,rates,since,X,NN,NNS,IN,6
predicted,drop,rates,eventually,VBD,NN,NNS,RB,6
plus,accrued,date,purchase,CC,VBN,NN,NN,6
dramatic,fluctuation,rates,X,JJ,NN,NNS,X,6
growing,international,japanese,behavior,JJ,JJ,JJ,NN,1
lower,uXsX,rates,spurred,JJR,NP,NNS,VBN,6
showed,little,evidence,slowing,VBD,JJ,NN,VBG,1
cut,shortXterm,rates,X,VB,JJ,NNS,X,6
federal,funds,rate,0X25,JJ,NNS,NN,AB,6
resulting,higher,costs,taxpayer,VBG,JJR,NNS,NN,6
japanese,business,X,uXs,JJ,NN,X,NP,3
heightened,japanese,american,small,JJ,JJ,JJ,JJ,1
bought,controlling,glass,company,VBD,VBG,NN,NN,5
XX,great,making,investments,XX,JJ,VBG,NNS,1
35,PERCENT,trading,company,AB,NN,NN,NN,5
customers,primarily,rates,pay,NNS,RB,NNS,VBP,6
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
million,semiannual,payment,due,AB,JJ,NN,JJ,6
illegal,variety,rate,swap,JJ,NN,NN,NN,6
sterling,market,rate,swap,NN,NN,NN,NN,6
parties,engage,rate,swap,NNS,VBP,NN,NN,6
make,fixedXrate,payments,debt,VB,JJ,NNS,NN,6
X,X,rates,rose,X,X,NNS,VBD,6
noting,growing,use,900,VBG,VBG,NN,AB,1
see,dealing,rates,deficit,VB,VBG,NNS,NN,6
bonds,X,subject,federal,NNS,X,JJ,JJ,6
every,important,team,XX,DT,JJ,NN,X,4
protecting,national,encouraging,new,VBG,JJ,VBG,JJ,4
uncertainty,regarding,rates,dollar,NN,VBG,NNS,NN,6
X,investor,directed,toward,X,NN,VBN,IN,1
said,investor,focused,defensive,VBD,NN,VBN,JJ,1
price,changes,income,X,NN,NNS,NN,X,6
company,Xs,expense,exceeds,NN,POS,NN,VBZ,6
could,signal,helping,revive,MD,VB,VBG,VB,1
20,PERCENT,chain,january,AB,NN,NN,NP,5
pursue,unspecified,X,move,VB,JJ,X,NN,3
also,cited,costs,amortization,RB,VBD,NNS,NN,6
toward,decline,rates,X,IN,NN,NNS,X,6
mcalpine,family,X,X,NP,NN,X,X,5
dramatic,fluctuation,rates,X,JJ,NN,NNS,X,6
cut,shortXterm,rates,due,VB,JJ,NNS,JJ,6
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
Xs,best,XX,company,POS,JJS,XX,NN,4
19,announcement,minority,stake,AB,NN,NN,NN,1
buffeted,high,rates,slowing,VBN,JJ,NNS,VBG,6
going,pursue,X,XX,VBG,VB,X,XX,3
attract,investor,remained,sluggish,VB,NN,VBD,JJ,1
X,domestic,rates,likely,X,JJ,NNS,JJ,6
direction,shortXterm,rates,treasury,NN,JJ,NNS,NP,6
X,market,rates,move,X,NN,NNS,VBP,6
X,also,packaging,X,X,RB,NN,X,5
low,levels,coverage,internal,JJ,NNS,NN,JJ,6
call,lower,rates,X,VB,JJR,NNS,X,6
inflation,bring,rates,X,NN,VB,NNS,X,6
X,average,rate,rose,X,JJ,NN,VBD,6
showed,little,X,impression,VBD,JJ,X,NN,1
took,quick,mrX,stoll,VBD,JJ,NP,NP,1
X,higher,rates,paid,X,JJR,NNS,VBN,6
swap,timber,X,would,NN,NN,X,MD,5
banks,owed,october,negotiations,NNS,VBD,NP,NNS,6
stake,healthvest,certain,facilities,NN,NP,JJ,NNS,5
secret,illegal,beer,distributorship,JJ,JJ,NN,NN,5
hidden,ownership,real,estate,JJ,NN,JJ,NN,5
X,lowered,rate,accepted,X,VBD,NN,VBD,6
wrote,complain,paying,unsecured,VBD,VB,VBG,JJ,6
PERCENT,true,cost,X,NN,JJ,NN,X,6
PERCENT,true,cost,X,NN,JJ,NN,X,6
X,X,bonds,treated,X,X,NNS,VBN,6
big,downturn,rates,years,JJ,NN,NNS,NNS,6
drum,investor,mortgage,securities,VB,NN,NN,NNS,1
X,XX,great,deal,X,XX,JJ,NN,1
help,drive,rates,mortgage,VB,VB,NNS,NN,6
securities,pay,monthly,X,NNS,VBP,RB,X,6
pursue,longXterm,corporation,X,VB,JJ,NN,X,4
holding,company,manufacturing,concerns,VBG,NN,VBG,NNS,5
despite,growing,environment,X,IN,VBG,NN,X,1
shown,much,refillable,packages,VBN,JJ,JJ,NNS,1
X,pay,115,months,X,VBP,AB,NNS,6
reserve,eases,rates,X,NP,VBZ,NNS,X,6
pressured,narrowing,rate,differentials,VBN,NN,NN,NNS,6
relaxed,shortXterm,rates,X,VBD,JJ,NNS,X,6
lower,uXsX,rates,signs,JJR,NP,NNS,NNS,6
value,rises,rates,decline,NN,VBZ,NNS,VBP,6
expects,uXsX,rates,decline,VBZ,NP,NNS,VB,6
west,german,rates,X,JJ,JJ,NNS,X,6
trend,uXsX,rates,X,NN,NP,NNS,X,6
corpX,Xs,rate,options,NP,POS,NN,NNS,6
including,swaps,rate,options,VBG,NNS,NN,NNS,6
XX,problems,rate,options,XX,NNS,NN,NNS,6
failed,envision,rate,environment,VBD,VB,NN,NN,6
incidents,involving,rate,options,NNS,VBG,NN,NNS,6
X,X,rate,options,X,X,NN,NNS,6
chemical,Xs,rate,options,NP,POS,NN,NNS,6
chemical,Xs,rate,options,NP,POS,NN,NNS,6
aflXcio,finding,unlikely,quarter,NP,VBG,JJ,NN,1
new,corporate,healthXcare,overhaul,JJ,JJ,NN,NN,1
reserve,eases,rates,soon,NP,VBZ,NNS,RB,6
payments,minority,X,surged,NNS,NN,X,VBD,5
payments,minority,X,revenue,NNS,NN,X,NN,5
X,XX,rate,sensitives,X,XX,NN,NNS,6
immediate,outlook,rates,X,JJ,NN,NNS,X,6
broad,spectrum,congress,administration,JJ,NN,NP,NN,3
PERCENT,netXprofits,certain,oil,NN,JJ,JJ,NN,5
loan,carries,rate,prime,NN,VBZ,NN,JJ,6
20,PERCENT,real,estate,AB,NN,JJ,NN,5
tax,minority,extraordinary,items,NN,NN,JJ,NNS,5
18,million,saudi,european,AB,AB,NP,NP,5
general,XX,stocks,latest,JJ,XX,NNS,JJS,1
projects,X,solidXwaste,recovery,NPS,X,NN,NN,5
X,also,building,maintenance,X,RB,NN,NN,5
Xs,X,building,electronic,POS,X,VBG,JJ,3
reserve,lower,rates,X,NP,VB,NNS,X,6
pinpoint,trough,rate,cycles,VB,NN,JJ,NNS,6
reserve,raised,rates,X,NP,VBD,NNS,X,6
due,speculation,rates,could,RB,NN,NNS,MD,6
sign,higher,rates,possible,NN,JJR,NNS,JJ,6
clearly,revived,gold,utility,RB,VBN,NN,NN,1
lower,shortXterm,rates,next,JJR,JJ,NNS,JJ,6
underlined,growing,british,concern,VBD,VBG,JJ,NN,1
expectation,lower,rates,made,NN,JJR,NNS,VBD,6
X,show,public,office,X,VB,JJ,NN,1
plans,sell,X,X,NNS,VB,X,X,5
rockefeller,family,X,X,NP,NN,X,X,5
attracted,buying,X,however,VBD,NN,X,RB,1
X,realization,rates,firm,X,NN,NNS,JJ,6
revenues,slowing,rates,longer,NNS,VBG,NNS,RB,6
due,international,rate,differentials,RB,JJ,NN,NNS,6
inspire,foreignXinvestor,X,X,VB,NN,X,X,1
PERCENT,annual,rate,X,NN,JJ,NN,X,6
X,shortXterm,rates,rose,X,JJ,NNS,VBD,6
X,X,rate,8X07,X,X,NN,AB,6
forced,reset,rate,senior,VBN,VB,NN,JJ,6
Xs,annual,payments,X,POS,JJ,NNS,X,6
anything,arouses,first,glance,NN,VBZ,JJ,NN,1
detected,bit,golf,X,VBD,NN,NN,X,1
indirectly,increases,rates,charged,RB,VBZ,NNS,VBN,6
X,suspended,payments,last,X,VBD,NNS,JJ,6
families,personal,X,says,NNS,JJ,X,VBZ,3
generated,much,nyu,host,VBN,JJ,NP,NN,1
X,investor,stock,funds,X,NN,NN,NNS,1
X,western,see,mrX,X,JJ,VB,NP,4
XX,expression,X,XX,XX,NN,X,XX,1
community,preserve,X,probably,NN,VB,X,RB,4
Xs,books,charges,new,POS,NNS,VBZ,NP,6
experience,may,cbs,incX,NN,MD,NP,NP,2
X,X,instead,decreased,X,X,RB,VBD,1
X,X,waned,day,X,X,VBD,NN,1
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
X,annualized,rates,certain,X,VBN,NNS,JJ,6
PERCENT,annual,set,come,NN,JJ,VBN,VB,6
paying,lower,X,X,VBG,JJR,X,X,6
provisions,allowed,rate,raised,NNS,VBD,NN,VBN,6
note,paying,rate,starting,NN,VBG,NN,VBG,6
48,million,payments,reset,AB,AB,NNS,NN,6
must,lower,rate,debt,MD,VB,NN,NN,6
acting,protect,shareholder,navigation,VBG,VB,NN,NP,4
acting,protect,X,ties,VBG,VB,X,VBZ,5
oil,gas,amoco,corpX,NN,NN,NP,NP,5
summer,X,rates,dipped,NN,X,NNS,VBD,6
X,already,tissue,businesses,X,RB,NN,NNS,5
high,british,rates,X,JJ,JJ,NNS,X,6
even,higher,rates,wo,RB,JJR,NNS,MD,6
51,PERCENT,mitsubishi,estate,AB,NN,NP,NP,5
10,PERCENT,new,company,AB,NN,JJ,NN,5
offer,reduce,payments,X,NN,VB,NNS,X,6
dangerous,resolved,national,security,JJ,VBN,JJ,NN,4
pursue,business,X,airline,VB,NN,X,NN,3
pXg,took,X,ordered,NP,VBD,X,VBD,1
X,X,emigration,investment,X,X,NN,NN,1
X,net,income,third,X,JJ,NN,JJ,6
34,years,rate,8,AB,NNS,NN,AB,6
legal,fees,driven,value,JJ,NNS,VBN,NN,6
afterXtax,cost,bonds,higher,JJ,NN,NNS,JJR,6
enquirer,shown,X,X,NP,VBN,X,X,1
impervious,high,rates,mrX,JJ,JJ,NNS,NP,6
X,high,rates,less,X,JJ,NNS,RBR,6
neither,aggregates,rates,X,DT,NNS,NNS,X,6
leaving,time,outside,office,VBG,NN,IN,NN,3
Xs,earnings,X,taxes,POS,NNS,X,NNS,6
X,earnings,X,taxes,X,NNS,X,NNS,6
basis,realXestate,X,X,NN,NN,X,X,5
100,million,every,quarter,AB,AB,DT,NN,6
said,longXterm,rates,X,VBD,JJ,NNS,X,6
people,believe,rates,nosedive,NNS,VBP,NNS,JJ,6
expected,X,rates,generally,VBD,X,NNS,RB,6
policy,pushed,rates,15,NN,VBD,NNS,AB,6
doubled,mortgage,rates,many,VBD,NN,NNS,JJ,6
inflation,high,rates,XX,NN,JJ,NNS,X,6
response,high,rates,X,NN,JJ,NNS,X,6
falls,X,rates,raised,VBZ,X,NNS,VBN,6
australian,coal,X,275,JJ,NN,X,AB,5
XX,great,games,skill,XX,JJ,NNS,NN,1
first,time,paid,public,JJ,NN,VBN,JJ,6
X,accrued,refund,X,X,VBN,NN,X,6
incomeXtax,refunds,court,ruling,JJ,NNS,NN,VBG,6
PERCENT,equity,partner,X,NN,NN,NN,X,5
sufficient,cover,payments,debt,JJ,VB,NNS,NN,6
PERCENT,controlling,X,X,NN,VBG,X,X,5
50,PERCENT,new,cellular,AB,NN,JJ,JJ,5
well,public,would,served,RB,JJ,MD,VBN,4
substantial,buying,X,X,JJ,NN,X,X,1
X,high,rates,heavy,X,JJ,NNS,JJ,6
authorities,move,rates,X,NNS,VBP,NNS,X,6
coX,X,rates,irving,NP,X,NNS,NP,6
paying,less,promised,marketing,VBG,JJR,VBN,NN,6
federal,funds,rate,X,JJ,NNS,NN,X,6
innovation,public,X,X,NN,JJ,X,X,4
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
maneuver,little,outside,washington,NN,JJ,IN,NP,2
republicans,much,democrats,XX,NPS,JJ,NPS,XX,1
million,behind,payments,X,AB,RB,NNS,X,6
14,PERCENT,rate,X,AB,NN,NN,X,6
banks,X,rates,prime,NNS,X,NNS,JJ,6
would,best,cbs,news,MD,JJS,NP,NP,4
debt,obligations,expense,X,NN,NNS,NN,X,6
reduced,cash,X,X,JJ,NN,X,X,6
represent,controlling,company,X,VB,VBG,NN,X,5
light,investor,metals,X,JJ,NN,NNS,X,1
X,effective,rate,X,X,JJ,NN,X,6
4,million,expenses,next,AB,AB,NNS,IN,6
risen,time,rates,generally,VBN,NN,NNS,RB,6
relative,decline,rates,X,JJ,NN,NNS,X,6
nXt,much,X,X,RB,JJ,X,X,1
advertisers,showing,X,X,NNS,VBG,X,X,1
Xs,municipalXbond,exempt,federal,VBZ,JJ,JJ,JJ,6
year,prevailing,rates,X,NN,JJ,NNS,X,6
make,bet,rates,decline,VB,NN,NNS,VB,6
even,losses,rates,rise,JJ,NNS,NNS,VBP,6
X,X,rates,nXt,X,X,NNS,RB,6
X,X,rate,guaranteed,X,X,NN,VBN,6
8X8,PERCENT,one,year,AB,NN,AB,NN,6
track,market,rates,X,VBP,NN,NNS,X,6
needs,national,X,words,NNS,JJ,X,NNS,4
neutralizes,threats,manner,consistent,VBZ,NNS,NN,JJ,4
lower,uXsX,rates,continue,JJR,NP,NNS,VBP,6
decline,uXsX,rates,diminished,NN,NP,NNS,VBN,6
high,british,rates,said,JJ,JJ,NNS,VBD,6
strong,buying,yen,another,JJ,NN,NN,DT,1
investors,X,buying,dollars,NNS,POS,VBG,NNS,1
X,giant,cement,making,X,NN,NN,NN,5
plus,accrued,date,redemption,CC,JJ,NN,NN,6
major,stake,rates,move,JJ,NN,NNS,VBP,6
difficult,predict,rates,colony,JJ,VB,NNS,NN,6
oil,gas,sale,earlier,NN,NN,NN,RBR,5
norwegian,unit,ranging,10,JJ,NN,VBG,AB,5
X,X,first,year,X,X,JJ,NN,6
thereafter,X,paid,annually,RB,X,VBN,RB,6
X,represent,trust,fund,X,VB,NN,NN,5
get,half,oil,X,VB,NN,NN,X,5
half,brewing,X,X,PDT,NN,X,X,5
mean,public,X,X,VB,JJ,X,X,4
financial,instruments,rate,swaps,JJ,NNS,NN,NNS,6
X,read,robert,tomsho,X,VBP,NP,NP,1
X,X,taken,heart,X,X,VBN,NN,4
similar,intellectual,X,X,JJ,JJ,X,X,3
standards,spurring,lighter,alternative,NNS,VBG,JJR,JJ,1
X,fat,payments,barely,X,JJ,NNS,RB,6
supports,high,rates,keep,VBZ,JJ,NNS,VB,6
company,said,debt,fall,NN,VBD,NN,VB,6
X,base,rates,highest,X,NN,NNS,JJS,6
convicted,charging,rates,much,VBN,VBG,NNS,RB,6
X,X,rates,charge,X,X,NNS,VBP,6
X,whose,include,insurance,X,WPX,VBP,NN,5
million,year,expense,X,AB,NN,NN,X,6
notes,periodic,payments,X,NNS,JJ,NNS,X,6
saks,Xs,idea,X,NP,POS,NN,X,1
reserve,lower,rates,coming,NP,VB,NNS,JJ,6
loans,variable,rates,X,NNS,JJ,NNS,X,6
make,semiannual,payment,X,VB,JJ,NN,X,6
nearly,missed,payment,junk,RB,VBD,NN,NN,6
first,dispose,britain,Xs,RB,VB,NP,POS,5
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
million,sale,computerized,reservations,AB,NN,JJ,NNS,5
sale,covia,X,X,NN,NP,X,X,5
X,company,fashion,jewelry,X,NN,NN,NN,5
sure,revive,matter,capitol,JJ,VB,NN,NP,1
X,plus,XX,highest,X,CC,XX,JJS,6
loans,lower,rates,X,NNS,JJR,NNS,X,6
us,bring,rate,X,PP,VB,NN,X,6
billion,accrued,year,X,AB,JJ,NN,X,6
must,fix,rates,X,MD,VB,NNS,X,6
excluding,accrued,X,XX,VBG,JJ,X,X,6
bonds,X,rates,high,NNS,POS,VBZ,RB,6
require,fixing,rate,high,VB,VBG,NN,JJ,6
continue,accrue,paper,midX1990s,VB,VB,NN,NNS,6
forced,fix,rate,get,VBN,VB,NN,VB,6
brunswick,also,defense,aerospace,NP,RB,NN,JJ,5
enhanced,investor,precious,metals,JJ,NN,JJ,NNS,1
create,investor,precious,metals,VB,NN,JJ,NNS,1
X,X,lacking,long,X,X,JJ,JJ,1
increasing,open,declining,prices,VBG,JJ,VBG,NNS,5
X,open,number,outstanding,X,JJ,NN,JJ,5
pay,overdue,stillXoutstanding,loans,VB,JJ,JJ,NNS,6
owned,properties,mortgages,X,VBN,NNS,NNS,X,6
X,high,materials,costs,X,JJ,NNS,NNS,6
X,voting,20,PERCENT,X,NN,AB,NN,5
increase,uXkX,rates,pound,VB,NP,NNS,NN,6
escape,taxes,sum,earns,VB,NNS,NN,VBZ,6
X,including,past,contributions,X,VBG,JJ,NNS,6
X,4X773,could,withdrawn,X,AB,MD,VBN,6
deferring,tax,contributions,earn,VBG,NN,NNS,VBP,6
X,allowing,buildup,contributions,X,VBG,NN,NNS,6
payments,minority,X,X,NNS,NN,X,X,5
showed,little,buying,securities,VBN,JJ,VBG,NNS,1
created,separating,payment,portion,VBN,VBG,NN,NN,6
securities,pay,maturity,X,NNS,VBP,NN,X,6
strategic,economic,X,X,JJ,JJ,X,X,4
X,XX,lies,controlled,X,XX,VBZ,VBN,4
takes,keen,monetary,matters,VBZ,JJ,JJ,NNS,1
especially,keen,board,matters,RB,JJ,NN,NNS,1
toward,lower,rates,X,IN,JJR,NNS,X,6
fed,let,rates,slip,NP,VBN,NNS,VBP,6
X,bronfman,hold,24,X,NP,VBP,AB,5
X,freeXspeech,outweighed,Xinterests,X,NN,VBD,NNS,4
Xinterests,outweighed,copyright,owner,NNS,VBD,NN,NN,4
argument,public,scholarship,could,NN,JJ,NN,MD,4
recognized,public,subject,matter,VBN,JJ,JJ,NN,1
bill,tailored,single,individual,NN,VBN,JJ,NN,4
represents,dividend,hughes,earnings,VBZ,NN,NP,NNS,5
represents,dividend,eds,profit,VBZ,NN,NP,NN,5
payment,including,secured,creditors,NN,VBG,VBN,NNS,6
full,credits,X,855,JJ,NNS,X,AB,6
million,payments,since,X,AB,NNS,IN,X,6
accrued,unpaid,equal,X,VBN,JJ,JJ,X,6
creditors,X,accrued,since,NNS,POS,VBN,IN,6
aroused,much,congress,X,VBN,JJ,NP,X,1
drew,plenty,uXsX,auto,VBD,RB,NP,NN,1
reluctance,cut,rates,pull,NN,VB,NNS,VB,6
fed,lower,rates,least,NP,VB,NNS,JJS,6
taxes,X,penalties,owed,NNS,X,NNS,VBN,6
X,short,international,mobile,X,JJ,NP,NP,5
XX,short,otc,stocks,XX,JJ,NP,NNS,5
low,stable,rates,X,JJ,JJ,NNS,X,6
starts,lose,day,conversion,VBP,VB,NN,NN,6
continue,earn,card,holder,VB,VB,NN,NN,6
lower,shortXterm,rates,X,JJR,JJ,NNS,X,6
posting,lower,rates,since,VBG,JJR,NNS,IN,6
X,shortXterm,rates,moving,X,JJ,NNS,VBG,6
changes,plus,X,amounted,NNS,CC,X,VBN,6
leverage,jacked,income,X,NN,VBN,NN,X,6
X,great,X,since,X,JJ,X,IN,1
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
X,suggesting,looking,modified,X,VBG,VBG,VBN,1
bad,debt,income,X,JJ,NN,NN,X,6
would,defer,principal,junk,MD,VB,NN,NN,6
annual,cash,bill,X,JJ,NN,NN,X,6
yet,pay,bill,X,RB,VB,NN,X,6
board,ignoring,individual,institutional,NP,VBG,JJ,JJ,4
securities,pay,periodically,X,NNS,VB,RB,X,6
PERCENT,current,bonds,due,NN,JJ,NNS,JJ,6
program,current,bonds,due,NN,JJ,NNS,JJ,6
program,current,bonds,due,NN,JJ,NNS,JJ,6
50,PERCENT,national,steel,AB,NN,NP,NP,5
X,manufacturer,aerospace,X,X,NN,NN,X,5
absence,active,beyond,marketXmakers,NN,JJ,IN,NNS,1
public,family,X,spokeswoman,NN,NN,X,NN,5
risky,best,investing,public,JJ,JJS,VBG,NN,4
operations,increases,expense,charges,NNS,NNS,NN,NNS,6
payments,minority,X,X,NNS,NN,X,X,5
include,sale,joint,venture,VB,NN,JJ,NN,5
25,PERCENT,aXtXbX,X,AB,NN,NP,X,5
X,japanese,rates,X,X,JJ,NNS,X,6
XX,expressions,XX,bloomingdale,XX,NNS,XX,NP,1
X,including,debt,securities,X,VBG,NN,NNS,6
million,year,cashXdeferred,X,AB,NN,JJ,X,6
million,year,earned,proceeds,AB,NN,VBN,NNS,6
democrats,expressed,cutting,tax,NPS,VBN,VBG,NN,1
X,average,rate,rose,X,JJ,NN,VBD,6
X,itt,electronic,parts,X,NP,JJ,NNS,5
PERCENT,working,X,partners,NN,VBG,X,NNS,5
50,PERCENT,X,kuwait,AB,NN,X,NP,5
payments,minority,rose,749,NNS,NN,VBD,AB,5
highXrisk,bet,rates,backfired,JJ,NN,NNS,VBD,6
prices,reason,sears,declined,NNS,NN,NP,VBD,1
thus,forfeit,income,X,RB,VB,NN,X,6
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
stand,consumer,X,small,VB,NN,X,JJ,4
seeks,lateXpayment,lost,check,VBZ,NN,JJ,NN,6
X,request,abatement,X,X,VB,NN,X,6
deduct,homeXmortgage,X,200X000,VB,JJ,X,AB,6
debt,X,fully,deductible,NN,X,RB,JJ,6
substantial,government,unconstitutional,X,JJ,NN,JJ,X,4
proliferation,special,magazines,X,NN,JJ,NNS,X,3
target,idosyncratic,readers,X,VBP,JJ,NNS,X,3
X,level,rtc,Xs,X,NN,NP,POS,1
group,minority,already,operating,NN,NN,RB,VBG,5
X,low,rate,X,X,JJ,NN,X,6
government,coverage,costs,student,NN,NN,NNS,NN,6
school,X,costs,would,NN,X,NNS,MD,6
promoting,commonality,among,black,VBG,NN,IN,JJ,3
speak,narrow,one,group,VB,JJ,AB,NN,4
compelled,serve,constituents,servile,VBN,VB,NNS,JJ,4
X,common,live,together,X,JJ,VB,RB,3
X,short,nasdaq,overXtheXcounter,X,JJ,NP,JJ,5
otc,short,statistics,compiled,NP,JJ,NNS,VBN,5
X,short,figures,reported,X,JJ,NNS,VBN,5
total,short,nasdaq,stocks,JJ,JJ,NP,NNS,5
otc,short,compares,4X2,NP,JJ,VBZ,AB,5
X,short,X,represents,X,JJ,X,VBZ,5
X,short,rose,196X8,X,JJ,VBD,AB,5
large,short,gains,octX,JJ,JJ,NNS,NP,5
X,short,first,executive,X,JJ,NP,NP,5
Xs,short,jumped,42,POS,JJ,VBD,AB,5
biggest,short,position,nasdaq,JJS,JJ,NN,NP,5
changes,short,stocks,may,NNS,JJ,NNS,MD,5
saw,short,surge,X,VBD,JJ,NN,X,5
X,short,american,depositary,X,JJ,JJ,JJ,5
drop,short,included,adobe,NN,JJ,VBD,NP,5
compiles,short,data,two,VBZ,JJ,NNS,AB,5
X,short,1X327,nonXnms,X,JJ,AB,JJ,5
october,short,represents,1X04,NP,JJ,VBZ,AB,5
issues,short,position,least,NNS,JJ,NN,JJS,5
recover,principal,X,unsecured,VB,NN,X,JJ,6
lower,inflation,rates,tend,JJR,NN,NNS,VBP,6
XX,X,picks,X,XX,X,VBZ,X,1
consist,current,bonds,due,VBP,JJ,NNS,JJ,6
X,current,bonds,due,X,JJ,NNS,JJ,6
X,current,serial,bonds,X,JJ,NN,NNS,6
X,X,rates,generally,X,X,NNS,RB,6
follow,tXbills,rate,trends,VBP,NNS,NN,NNS,6
debt,reduce,costs,wang,NN,VB,NNS,NP,6
expected,ease,rates,next,VBN,VB,NNS,JJ,6
offset,higher,expense,lower,VBN,JJR,NN,JJR,6
Xs,minority,stein,industrie,POS,NN,NP,NP,5
attention,high,rates,corporate,NN,JJ,NNS,JJ,6
absence,institutional,later,session,NN,JJ,RB,NN,1
bid,attract,X,action,NN,VB,X,NN,1
continental,european,british,life,JJ,JJ,JJ,NN,1
spark,investor,issues,unlikely,VB,NN,NNS,JJ,1
ibm,acquires,X,X,NP,VBZ,X,X,5
rising,australian,rates,acquisition,VBG,JJ,NNS,NN,6
coal,oil,might,sale,NN,NN,MD,NN,5
X,oil,already,sold,X,NN,RB,VBN,5
pay,cash,bill,X,VB,NN,NN,X,6
plus,accrued,decX,8,CC,VBN,NP,AB,6
reserve,cut,rates,amid,NP,VB,NNS,IN,6
supply,lower,rates,X,NN,JJR,NNS,X,6
X,XX,japanese,investors,X,XX,JJ,NNS,1
remain,strong,rates,decline,VB,JJ,NNS,VB,6
efforts,drum,soXcalled,bailout,NNS,VB,JJ,NN,1
advantage,falling,rates,X,NN,VBG,NNS,X,6
group,true,cost,7X17,NN,JJ,NN,AB,6
corporations,X,principal,paid,NNS,X,NN,VBN,6
X,short,increased,6,X,JJ,VBD,AB,5
X,X,connected,issue,X,X,VBN,NN,1
seems,losing,giving,gm,VBZ,VBG,VBG,NP,1
company,Xs,acquiring,minority,NN,POS,VBG,NN,1
gm,Xs,jaguar,reflects,NP,POS,NP,VBZ,1
remaining,oneXthird,asbestos,mining,VBG,JJ,NN,NN,5
sold,majority,last,year,VBD,NN,JJ,NN,5
bond,prices,rates,fall,NN,NNS,NNS,VBP,6
decrease,faster,rates,fall,VB,RBR,NNS,VB,6
august,pursue,X,X,NP,VB,X,X,3
XX,time,rates,came,XX,NN,NNS,VBD,6
1984,X,rates,general,AB,X,NNS,JJ,6
assumed,principal,XX,fully,VBD,NN,XX,RB,6
pay,principal,accrued,date,VB,NN,VBN,NN,6
payable,year,accrued,X,JJ,NN,VBN,X,6
system,lower,rates,X,NP,VB,NNS,X,6
complained,XX,rates,high,VBD,XX,NNS,JJ,6
