m-2,m-1,m1,m2,c-2,c-1,c1,c2,sens
weight,hefty,payments,X,NN,JJ,NNS,X,6
caused,tardy,payments,put,VBD,JJ,NNS,VB,6
significant,shift,rate,outlook,JJ,NN,NN,NN,6
billion,coupon,payments,X,AB,NN,NNS,X,6
would,default,payments,covering,MD,VB,NNS,VBG,6
X,suspended,payments,X,X,VBN,NNS,X,6
unlikely,pay,total,X,JJ,VB,NN,X,6
1980s,compound,reaching,X,AB,JJ,NN,X,6
exorbitant,compound,X,X,JJ,NN,X,X,6
businesses,borrowing,rates,higher,NNS,VBG,NNS,JJR,6
british,airways,companies,fly,NP,NPS,NNS,VBP,5
X,X,income,fee,X,X,NN,NN,6
bank,skim,X,X,NN,VB,X,X,6
topics,mutual,X,said,NNS,JJ,X,VBD,4
nbc,Xs,may,revive,NP,POS,MD,VB,1
X,minority,programXmaker,without,X,NN,NN,IN,5
nbc,Xs,qintex,bid,NP,POS,NP,NN,1
ought,stand,X,Xs,MD,VB,X,VBZ,4
warner,protecting,X,X,NP,VBG,X,X,4
citic,pay,rate,0X5,NP,VB,NN,AB,6
calculate,exact,rate,currency,VB,JJ,NN,NN,6
officials,expect,rates,decline,NNS,VBP,NNS,VB,6
think,fit,people,X,VBP,JJ,NNS,X,4
exchange,rates,rates,X,NN,NNS,NNS,X,6
inflation,high,rates,X,NN,JJ,NNS,X,6
possibility,uXsX,rates,cut,NN,NP,NNS,NN,6
X,shortXterm,rates,already,X,JJ,NNS,RB,6
PERCENT,controlling,honeywell,bull,NN,VBG,NP,NP,5
narrowing,difference,rates,loans,VBG,NN,NNS,NNS,6
said,much,company,recently,VBD,JJ,NN,RB,1
reserve,allowing,rates,ease,NP,VBG,NNS,VB,6
PERCENT,true,cost,X,NN,JJ,NN,X,6
bonds,X,rates,inflation,NNS,X,NNS,NN,6
green,sold,shellerXglobe,united,NP,VBD,NP,NP,5
reduced,uXsX,panama,nXt,VBN,NP,NP,RB,1
federal,pensions,payments,XX,JJ,NNS,NNS,X,6
move,lower,rates,XX,NN,VB,NNS,XX,6
support,falling,rates,X,NN,VBG,NNS,X,6
combined,change,rates,reminding,VBN,NN,NNS,VBG,6
cellular,telephone,X,separate,JJ,NN,X,JJ,5
operating,profit,corporate,expense,NN,NN,JJ,NN,6
pound,high,rates,long,NN,JJ,NNS,JJ,6
losses,caused,payments,debt,NNS,VBN,NNS,NN,6
postpone,cash,payments,X,VBP,NN,NNS,X,6
selfXinterest,marketplace,society,XX,NN,NN,NN,XX,4
moves,cut,rates,X,NNS,VB,NNS,X,6
X,priced,rate,float,X,VBN,NN,VB,6
performance,high,rates,must,NN,JJ,NNS,MD,6
rise,net,revenue,X,NN,JJ,NN,X,6
points,net,margin,yearXago,NNS,JJ,NN,JJ,6
period,declining,rates,X,NN,VBG,NNS,X,6
restructuring,reduced,rate,large,NN,VBN,NN,JJ,6
westmin,X,oil,X,NP,X,NN,X,5
loans,made,rates,fees,NNS,VBN,NNS,NNS,6
sell,majority,italianXbased,landini,VB,NN,JJ,NP,5
XX,minority,landini,company,XX,NN,NP,NN,5
nXt,lower,rates,rein,RB,VB,NNS,VB,6
X,X,adjustable,X,X,X,JJ,X,6
19,14,X,X,AB,AB,X,X,6
bonds,lower,payments,X,NNS,VB,NNS,X,6
carrying,costs,dividends,risen,NN,NNS,NNS,VBN,6
terms,provide,could,reset,NNS,VBP,MD,NN,6
business,caused,junk,bonds,NN,VBD,NN,NNS,6
Xs,annual,payments,X,POS,JJ,NNS,X,6
say,equity,would,divided,VB,NN,MD,VBN,5
resigned,pursue,X,X,VBD,VB,X,X,3
said,XX,XX,merger,VBD,XX,XX,NN,1
ge,X,electrical,products,NP,X,JJ,NNS,5
citing,decline,rates,X,VBG,NN,NNS,X,6
forecasts,inflation,rates,year,NNS,NN,NNS,NN,6
6X7,PERCENT,rate,threeXmonth,AB,NN,NN,JJ,6
ge,also,consumer,industrial,NP,RB,NN,JJ,5
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
corpX,X,making,helicopters,NP,X,VBG,NNS,5
stripped,separate,principal,components,VBN,JJ,JJ,NNS,6
require,higher,rate,regular,VB,JJR,NN,JJ,6
35X45,PERCENT,tank,maker,AB,NN,NN,NN,5
X,company,publishing,largeXtypeface,X,NN,VBG,NN,5
brought,controlling,sprint,gte,VBD,JJ,NP,NP,5
slimmer,net,margin,XX,JJR,JJ,NN,X,6
X,net,income,rose,X,JJ,NN,VBD,6
82,million,payments,owed,AB,AB,NNS,VBN,6
Xs,XX,protecting,potential,POS,XX,VBG,JJ,1
X,falling,rates,prompt,X,VBG,NNS,VBP,6
XX,feel,rates,pretty,XX,VBP,NNS,RB,6
buyers,X,hotels,X,NNS,POS,NNS,X,1
back,debt,payments,X,RB,NN,NNS,X,6
back,debt,payments,oppose,RB,NN,NNS,VBP,6
nbc,Xs,never,meant,NP,POS,RB,VBN,1
went,things,debt,X,VBD,NNS,NN,X,6
runXup,debt,1980s,X,NN,NN,NNS,X,6
debt,net,payments,X,NN,JJ,NNS,X,6
XX,taken,religion,XX,XX,VBN,NN,XX,1
stirred,intense,among,major,VBN,JJ,IN,JJ,1
X,commercial,intense,X,X,JJ,JJ,X,1
Xs,broad,low,cholesterol,VBZ,JJ,JJ,NN,1
saying,watching,X,X,VBG,VBG,X,X,1
retreat,shortXterm,rates,X,NN,JJ,NNS,X,6
higher,shortXterm,rates,previous,JJR,JJ,NNS,JJ,6
negus,noted,rates,generally,NP,VBD,NNS,RB,6
dividends,reinvested,rates,remain,NNS,VBN,NNS,VBP,6
PERCENT,voting,X,X,NN,NN,X,X,5
american,presidency,X,X,JJ,NN,X,X,1
believe,best,cooperate,little,VB,JJS,VB,RB,4
rise,japanese,rates,gained,NN,JJ,NNS,VBD,6
fed,Xs,rate,stance,NP,POS,NN,NN,6
nXt,allowing,rates,drift,RB,VBG,NNS,VB,6
nXt,reduce,rates,important,RB,VB,NNS,JJ,6
Xs,national,four,five,POS,JJ,AB,AB,4
price,changes,XX,13X35,NN,NNS,X,AB,6
pay,lower,rates,bonds,VB,JJR,NNS,NNS,6
Xs,tremendous,protection,event,VBZ,JJ,NN,NN,1
price,changes,income,X,NN,NNS,NN,X,6
required,allocate,expenses,consolidated,VBN,VB,NNS,JJ,6
financing,X,expenses,allocated,NN,X,NNS,VBN,6
thus,X,expenses,uXsX,RB,X,NNS,NP,6
required,consolidate,expenses,preserve,VBN,VB,NNS,VB,6
holders,comparable,rates,moneyXmarket,NNS,JJ,NNS,JJ,6
X,open,X,number,X,JJ,X,NN,5
december,open,equivalent,236X913,NP,JJ,JJ,AB,5
contracts,open,december,options,NNS,JJ,NP,NNS,5
total,open,copper,futures,JJ,JJ,NN,NNS,5
disparity,open,deliverable,supplies,NN,JJ,JJ,NNS,5
vsX,open,situations,resolved,IN,JJ,NNS,VBN,5
pressure,open,relieved,month,NN,JJ,VBN,NN,5
resulted,fraudulent,expenses,created,VBD,JJ,NNS,VBN,6
creating,fraudulent,expenses,1981,VBG,JJ,NNS,AB,6
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
express,also,financial,services,NP,RB,JJ,NNS,5
generating,lot,italian,basketball,VBG,NN,JJ,NN,1
Xve,expressions,X,offers,VBP,NNS,X,NNS,1
Xs,considerable,X,XX,VBZ,JJ,X,XX,1
tax,deductibility,payments,securities,NN,NN,NNS,NNS,6
really,serious,deal,much,RB,JJ,NN,RB,1
failed,make,payments,june,VBD,VB,NNS,NP,6
current,major,free,boundary,JJ,JJ,JJ,NN,3
music,video,aXm,Xs,NN,NN,NP,POS,5
offices,musicXpublishing,X,X,NNS,JJ,X,X,5
also,expressed,mcorp,Xs,RB,VBN,NP,POS,1
20,PERCENT,new,company,AB,NN,JJ,NN,5
pressure,net,margins,X,VB,JJ,NNS,X,6
Xs,net,income,X,POS,JJ,NN,X,6
offset,net,income,strong,VBD,JJ,NN,JJ,6
gloomier,outlook,rates,bad,JJR,NN,NNS,JJ,6
prompted,renewed,bddp,X,VBN,VBN,NP,X,1
nXt,lower,rates,anytime,RB,VB,NNS,RB,6
securities,pay,form,additional,NNS,VBD,NN,JJ,6
show,much,notes,X,VB,JJ,NNS,X,6
PERCENT,X,rate,8X00,NN,X,NN,AB,6
comeback,among,rateXsensitive,largerXcapitalization,NN,IN,JJ,JJ,6
fears,high,rates,weak,NNS,JJ,NNS,JJ,6
said,institutional,recessionXresistant,blueXchip,VBD,JJ,JJ,JJ,1
also,benefited,uXsX,cellular,RB,VBD,NP,JJ,1
helped,damp,jaguar,X,VBN,VB,NP,X,1
suffer,high,rates,cutbacks,VB,JJ,NNS,NNS,6
south,african,rates,X,JJ,JJ,NNS,X,6
X,annualized,rates,certain,X,VBN,NNS,JJ,6
X,dictates,rates,X,X,VBZ,NNS,X,6
X,culprit,rate,outlook,X,NN,NN,NN,6
amid,speculation,rates,wo,IN,NN,NNS,MD,6
X,X,rate,speculation,X,X,NN,NN,6
X,believes,rate,worries,X,VBZ,NN,NNS,6
motor,expressed,taking,stake,NP,VBN,VBG,NN,1
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
X,high,rates,australia,X,JJ,NNS,NP,6
minority,equity,dallasXbased,morningstar,NN,NN,JJ,NP,5
60,PERCENT,neiman,marcus,AB,NN,NP,NP,5
businessman,substantial,real,estate,NN,JJ,JJ,NN,5
partial,depreciation,deductions,portion,JJ,NN,NNS,NN,6
legal,property,insufficient,file,JJ,NN,JJ,VB,5
owners,sell,company,employees,NNS,VB,NN,NNS,5
repay,reservists,paid,added,VB,NPS,VBN,VBN,6
points,XX,paid,advance,NPS,X,VBN,NN,6
67,PERCENT,electronic,financial,AB,NN,JJ,JJ,5
6,PERCENT,X,telerate,AB,NN,X,NP,5
X,german,rates,would,X,NP,NNS,MD,6
X,expressed,share,buyXback,X,VBD,NN,NN,1
suitors,declare,publicly,X,NNS,VB,RB,X,1
XX,expressed,company,X,XX,VBN,NN,X,1
thomson,Xs,ferranti,intense,NP,POS,NP,JJ,1
sXaX,denied,ferranti,X,NP,VBD,NP,X,1
securities,pay,periodically,X,NNS,VB,RB,X,6
bonds,X,subject,tax,NNS,X,JJ,NN,6
corpX,majority,waste,heat,NP,NN,NN,NN,5
failed,make,payments,june,VBD,VB,NNS,NP,6
X,also,insurance,brokerage,X,RB,NN,NN,5
anybody,Xs,X,X,NN,POS,X,X,4
X,net,income,XX,X,JJ,NN,X,6
customers,X,X,lest,NNS,POS,X,IN,1
generated,considerable,X,even,VBN,JJ,X,RB,1
increase,equity,north,pacific,VB,NN,NP,NP,5
maize,primarily,making,corn,NP,RB,VBG,NN,5
nXt,lower,rates,halt,RB,VB,NNS,VB,6
targets,exchange,rates,may,NNS,NN,NNS,MD,6
ready,relax,rates,X,JJ,VB,NNS,X,6
administration,reduce,rates,bring,NN,VB,NNS,VB,6
suggested,lower,rates,may,VBD,JJR,NNS,MD,6
exchange,rates,rates,X,NN,NNS,NNS,X,6
unlikely,lower,rates,based,JJ,VB,NNS,VBN,6
advantage,falling,rates,X,NN,VBG,NNS,X,6
continue,raise,rates,X,VB,VB,NNS,X,6
Xs,media,X,said,POS,NNS,X,VBD,5
sharp,reduction,rates,unlikely,JJ,NN,NNS,JJ,6
market,raising,rates,europe,NN,VBG,NNS,NP,6
XX,main,put,firm,XX,JJ,VB,NN,3
PERCENT,fixed,rates,provide,NN,VBN,NNS,VB,6
cities,memphis,large,X,NNS,NP,JJ,X,5
hopes,lower,rates,X,NNS,JJR,NNS,X,6
Xs,annual,expense,X,POS,JJ,NN,X,6
550X000,annual,savings,X,AB,JJ,NNS,X,6
fair,best,company,shareholders,RB,JJS,NN,NNS,4
exchange,rates,rates,X,NN,NNS,NNS,X,6
raised,key,rates,X,VBD,JJ,NNS,X,6
ease,uXsX,rates,soon,VB,NP,NNS,RB,6
X,X,rate,fell,X,X,NN,VBD,6
estate,publishing,aXm,X,NN,NN,NP,X,5
team,film,including,XX,NN,NN,VBG,XX,5
reflect,prevailing,rates,X,VB,VBG,NNS,X,6
expressed,renewed,acquiring,operator,VBN,VBN,VBG,NN,1
60,PERCENT,X,exxon,AB,NN,X,NP,5
nXt,lower,rates,halt,RB,VB,NNS,VB,6
lowering,shortXterm,rates,X,VBG,JJ,NNS,X,6
back,ownership,five,parcels,RB,NN,AB,NNS,5
shareholders,X,risk,X,NNS,POS,NN,X,4
payments,minority,X,came,NNS,NN,X,VBD,5
XX,public,XX,nXt,XX,JJ,XX,RB,4
nXt,badly,X,either,RB,RB,X,RB,4
X,among,X,pritzkers,X,IN,X,NP,5
session,particular,landmark,florida,NN,JJ,NN,NP,2
inflation,soaring,rates,continued,NN,VBG,NNS,VBD,6
bonds,pay,issued,deep,NNS,VBP,VBN,JJ,6
finance,concern,40,gold,NN,NN,AB,NN,5
germany,hike,rates,100,NP,VB,NNS,AB,6
acquiring,minority,jaguar,plc,VBG,NN,NP,NP,5
sold,equity,three,south,VBD,NN,AB,NP,5
held,nonXcontrolling,companies,since,VBN,JJ,NNS,IN,5
away,reduce,payments,X,RB,VB,NNS,X,6
plan,X,would,accrue,NN,X,MD,VB,6
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
5X6,million,expenses,X,AB,AB,NNS,X,6
price,changes,income,X,NN,NNS,NN,X,6
50,year,income,X,AB,NN,NN,X,6
price,changes,income,X,NN,NNS,NN,X,6
lobbyists,defend,X,X,NNS,VB,X,X,4
boost,british,rates,last,NN,JJ,NNS,JJ,6
concerns,rising,rates,possible,NNS,VBG,NNS,JJ,6
current,high,rates,X,JJ,JJ,NNS,X,6
Xs,jump,rates,X,POS,NN,NNS,X,6
support,general,airline,sector,NN,JJ,NN,NN,1
Xs,increases,rates,europe,POS,NNS,NNS,NP,6
changes,plus,income,X,NNS,CC,NN,X,6
resurgence,investor,foreign,government,NN,NN,JJ,NN,1
week,raised,rates,X,NN,VBD,NNS,X,6
contends,foreign,rates,probably,VBZ,JJ,NNS,RB,6
soon,lower,rates,counter,RB,VB,NNS,VB,6
expectations,falling,rates,sparked,NNS,VBG,NNS,VBN,6
economy,keeping,rates,high,NN,VBG,NNS,JJ,6
burden,corporate,payments,X,NN,JJ,NNS,X,6
lows,X,blue,chips,NNS,X,JJ,NNS,1
money,pay,guise,controversial,NN,VB,NN,JJ,6
shareholders,X,extremely,dangerous,NNS,POS,RB,JJ,4
believes,investor,might,broaden,VBZ,NN,MD,VB,1
X,attracted,two,investment,X,VBN,AB,NN,1
taking,minority,company,X,VBG,NN,NN,X,5
ford,Xs,prelude,hostile,NP,POS,NN,JJ,1
may,generated,stock,X,MD,VBN,NN,X,1
Xs,coordinated,rate,increases,POS,VBN,NN,NNS,6
Xs,high,rate,policy,POS,JJ,NN,NN,6
traders,disillusioned,rate,hike,NNS,VBN,NN,NN,6
X,despite,rate,increases,X,IN,NN,NNS,6
X,XX,corporate,sector,X,XX,JJ,NN,1
X,including,X,expected,X,VBG,X,VBN,6
lowest,possible,rate,X,JJS,JJ,NN,X,6
X,high,rates,X,X,JJ,NNS,X,6
reflects,additional,expense,related,VBZ,JJ,NN,VBN,6
plus,accrued,X,X,CC,JJ,X,X,6
X,uXsX,could,hurt,X,NP,MD,VBN,4
hurts,uXsX,X,X,VBZ,NP,X,X,4
well,X,X,X,RB,X,X,X,4
holding,company,telecommunications,X,NN,NN,NNS,X,5
X,annual,running,prime,X,JJ,VBG,JJ,6
Xs,athletic,X,XX,POS,JJ,X,XX,4
widerXthanXnormal,spread,rates,good,JJ,NN,NNS,JJ,6
city,Xs,income,loans,NP,POS,NN,NNS,6
show,improvement,margin,loan,VB,NN,NN,NN,6
kept,shortXterm,rates,relatively,VBD,JJ,NNS,RB,6
prime,shortXterm,rates,X,JJ,JJ,NNS,X,6
partly,belowXmarket,rates,X,RB,JJ,NNS,X,6
pay,cash,obligations,foreseeable,VB,NN,NNS,JJ,6
X,whereas,savings,selling,X,IN,NNS,VBG,6
million,reduced,expense,X,AB,JJ,NN,X,6
failed,make,payments,june,VBD,VB,NNS,NP,6
books,recognized,women,X,NNS,VBD,NNS,X,3
Xs,XX,best,served,POS,XX,RB,VBN,4
obtaining,controlling,company,X,VBG,NN,NN,X,5
cX,400X000,payment,cX,X,AB,NN,X,6
make,sure,business,arrangement,VB,JJ,NN,NN,1
little,customer,X,would,JJ,NN,X,MD,1
peabody,still,becoming,market,NP,RB,VBG,NN,1
basket,risky,public,X,NN,JJ,NN,X,4
PERCENT,voting,uXsX,airlines,NN,NN,NP,NNS,5
help,hold,rates,X,VBP,VB,NNS,X,6
security,strategic,X,XX,NN,JJ,X,XX,4
X,stepping,uXsX,airlines,X,VBG,NP,NNS,5
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
violate,public,X,X,VBP,JJ,X,X,4
X,X,1,point,X,X,AB,NN,6
X,X,rates,generally,X,X,NNS,RB,6
X,X,rates,continue,X,X,NNS,VB,6
taken,special,one,issue,VBN,JJ,AB,NN,1
combines,personal,sense,political,VBZ,JJ,NN,JJ,1
X,always,education,X,X,RB,NN,X,1
pressure,reduce,rates,bring,NN,VB,NNS,VB,6
bank,lower,rates,coming,NN,JJR,NNS,VBG,6
fed,sets,rate,policy,NP,VBZ,NN,NN,6
X,lower,rates,reduce,X,JJR,NNS,VBP,6
dollar,raising,rates,last,NN,VBG,NNS,JJ,6
advocate,lowering,rates,help,NN,VBG,NNS,VB,6
toward,lower,rates,economic,IN,JJR,NNS,JJ,6
individuals,expressed,purchasing,principal,NNS,VBN,VBG,JJ,1
oneXpercentageXpoint,drop,rates,XX,JJ,NN,NNS,X,6
fees,best,clients,X,NNS,JJS,NNS,X,4
reserve,cut,rates,coming,NP,VB,NNS,VBG,6
think,longXterm,rates,wo,VBP,JJ,NNS,MD,6
fed,drive,rate,federal,NP,VB,NN,JJ,6
increases,odds,rates,move,VBZ,NNS,NNS,VB,6
X,X,rates,tumbled,X,X,NNS,VBD,6
X,shortXterm,rates,fell,X,JJ,NNS,VBD,6
country,drum,shares,X,NN,VB,NNS,X,1
rise,european,rates,last,NN,JJ,NNS,JJ,6
high,real,rates,leave,JJ,JJ,NNS,VBP,6
warehouses,usual,X,X,NNS,JJ,X,X,1
X,X,stocks,nXt,X,X,NNS,RB,1
instead,looking,rates,X,RB,VBG,NNS,X,6
prospects,lower,rates,helped,NNS,JJR,NNS,VBD,6
step,lower,rates,X,NN,VB,NNS,X,6
shares,may,buying,company,NNS,MD,VBG,NN,1
pressure,cut,rates,X,NN,VB,NNS,X,6
borrowing,pay,dividends,X,VBG,VB,NNS,X,6
along,annual,X,120,IN,JJ,X,AB,6
partnership,loses,X,X,NN,VBZ,X,X,1
fear,higher,rates,prompted,NN,JJR,NNS,VBD,6
surge,buying,jaguar,saatchi,NN,VBG,NP,NP,1
said,rise,rates,X,VBD,NN,NNS,X,6
use,high,rate,medicine,VB,JJ,NN,NN,6
PERCENT,beneficial,french,luxury,NN,JJ,JJ,NN,5
reduction,uXsX,rates,X,NN,NP,NNS,X,6
eroded,rising,rates,X,VBN,VBG,NNS,X,6
change,plus,income,XX,NN,CC,NN,X,6
X,X,payments,included,X,X,NNS,VBN,6
X,rising,rates,X,X,VBG,NNS,X,6
funds,fall,rates,rise,NNS,VBP,NNS,VB,6
nXt,pay,mature,X,RB,VB,VBP,X,6
X,X,rates,rising,X,X,NNS,VBG,6
accompanied,lower,rates,X,VBN,JJR,NNS,X,6
course,X,rates,rise,NN,X,NNS,VBP,6
function,national,case,war,VB,JJ,NN,NN,4
levels,high,rates,X,NNS,JJ,NNS,X,6
gains,strong,women,Xs,NNS,JJ,NNS,POS,1
X,nonXsteel,X,currently,X,JJ,X,RB,5
Xs,high,rates,X,POS,JJ,NNS,X,6
X,XX,acquiring,bX,X,XX,VBG,NP,1
Xs,majority,specialty,chain,POS,NN,NN,NN,5
sold,majority,parisian,incX,VBN,NN,NP,NP,5
failed,make,payments,june,VBN,VB,NNS,NP,6
million,average,rate,9X3,AB,JJ,NN,AB,6
10,PERCENT,productionXsharing,contract,AB,NN,NN,NN,5
sale,lowered,contract,24X3,NN,VBD,NN,AB,5
repsol,Xs,12X45,PERCENT,NP,POS,AB,NN,5
retain,sizable,northwest,java,VB,JJ,NP,NP,5
X,public,herbal,medicine,X,JJ,JJ,NN,1
X,best,priority,actively,POS,JJS,NN,RB,4
cited,higher,rates,junk,VBD,JJR,NNS,NN,6
bonds,sent,rates,issues,NNS,VBN,NNS,NNS,6
higher,corporate,payments,moderating,JJR,JJ,NNS,VBG,6
ease,shortXterm,rates,soon,VB,JJ,NNS,RB,6
announced,pushing,rates,full,VBD,VBG,NNS,JJ,6
influence,withhold,payments,state,NN,VB,NNS,NN,6
maintaining,protected,X,X,VBG,JJ,X,X,4
said,expects,rates,drop,VBD,VBZ,NNS,VB,6
activity,drop,rates,X,NN,NN,NNS,X,6
X,X,bonds,due,X,X,NNS,JJ,6
sizable,minority,telemunchen,X,JJ,NN,NP,X,5
X,X,uniformity,X,X,X,NN,X,4
market,high,rates,X,NN,JJ,NNS,X,6
developed,deep,eastern,europe,VBD,JJ,NP,NP,1
despite,long,soviet,union,IN,JJ,NP,NP,1
cuts,debt,payments,X,NNS,NN,NNS,X,6
cutting,debt,payments,providing,VBG,NN,NNS,VBG,6
nXt,expressed,moving,prime,RB,VBN,VBG,JJ,1
remainder,debt,X,X,NN,NN,X,X,6
laced,parochial,X,X,VBN,JJ,X,X,4
plus,accrued,purchase,date,CC,VBN,NN,NN,6
cash,annual,bill,X,NN,JJ,NN,X,6
nXt,include,X,600,RB,VB,X,AB,6
paying,cash,several,years,VBG,NN,JJ,NNS,6
problem,meeting,principal,payments,NN,VBG,JJ,NNS,6
Xs,expressed,X,mrX,VBZ,VBN,X,NP,1
trump,Xs,amr,X,NP,POS,NP,X,1
effects,round,rate,increases,NNS,NN,NN,NNS,6
X,X,takeover,stocks,X,X,NN,NNS,1
denied,takeover,X,saying,VBN,NN,X,VBG,1
rise,foreign,rates,X,NN,JJ,NNS,X,6
signaled,rise,rates,X,VBD,NN,NNS,X,6
X,X,rates,X,X,X,NNS,X,6
broad,investor,quickly,snapped,JJ,NN,RB,VBN,1
bundesbank,raised,rates,X,NP,VBD,NNS,X,6
fall,sharply,rate,hikes,VB,RB,NN,NNS,6
X,open,figures,released,X,JJ,NNS,VBN,5
X,open,number,contracts,X,JJ,NN,NNS,5
acquire,equity,geographic,systems,VB,NN,NP,NP,5
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
strengthened,despite,rate,increases,VBD,IN,NN,NNS,6
bundesbank,raise,rates,X,NP,VB,NNS,X,6
let,market,rates,edge,VB,NN,NNS,VB,6
high,uXsX,rates,compared,JJ,NP,NNS,VBN,6
60,PERCENT,cit,group,AB,NN,NP,NP,5
Xs,fees,costs,X,POS,NNS,NNS,X,6
community,share,stability,avoiding,NN,VBP,NN,VBG,1
tokyo,X,rate,worries,NP,X,NN,NNS,6
harmed,high,rates,X,VBN,JJ,NNS,X,6
making,higher,rates,nXt,VBG,JJR,NNS,RB,6
west,german,rate,increase,JJ,JJ,NN,NN,6
attracted,buying,local,news,VBD,NN,JJ,NN,1
payments,minority,1X37,billion,NNS,NN,AB,AB,5
X,pressure,rates,stiff,X,NN,NNS,JJ,6
taxes,minority,special,items,NNS,NN,JJ,NNS,5
raised,official,rates,full,VBD,JJ,NNS,JJ,6
Xs,benchmark,rates,highest,POS,JJ,NNS,JJS,6
columbia,Xs,burbank,studio,NP,POS,NP,NN,5
50,million,films,XX,AB,AB,NNS,XX,5
200,million,X,depreciation,AB,AB,X,NN,6
X,profits,X,taxes,X,NNS,X,NNS,6
deductibility,certain,payments,originalXissue,NN,JJ,NNS,JJ,6
plus,accrued,X,20,CC,JJ,X,AB,6
industry,public,X,X,NN,JJ,X,X,4
blow,public,X,X,NN,JJ,X,X,4
times,earnings,X,taxes,NNS,NNS,X,NNS,6
might,nXt,shareholders,X,MD,RB,NNS,X,4
industry,public,X,X,NN,JJ,X,X,4
company,defaulted,payments,sept,NN,VBD,NNS,NP,6
increase,british,rates,XX,NN,JJ,NNS,X,6
boost,key,rates,X,VB,JJ,NNS,X,6
got,left,rates,X,VBN,JJ,NNS,X,6
problem,raising,rates,consumers,NN,VBG,NNS,NNS,6
continuous,ratcheting,rates,produce,JJ,VBG,NNS,VB,6
substantial,emotional,stake,X,JJ,JJ,NN,X,1
X,X,rates,credit,X,X,NNS,NN,6
payments,principal,required,gold,NNS,NN,VBN,JJ,6
pay,principal,gold,X,VB,NN,NN,X,6
lowest,possible,rate,X,JJS,JJ,NN,X,6
lowest,governmental,rate,earth,JJS,JJ,NN,NN,6
bonds,X,bonds,could,NNS,X,NNS,MD,6
X,X,rate,would,X,X,NN,MD,6
X,expected,rate,would,X,VBN,NN,MD,6
proportionally,higher,rates,stabilize,RB,JJR,NNS,VB,6
X,X,payment,X,X,X,NN,X,6
paid,lower,rate,X,VBN,JJR,NN,X,6
X,bonus,rates,good,X,NN,NNS,JJ,6
people,express,certificates,receive,NNS,VBP,NNS,VBP,1
obviously,big,protecting,reputation,RB,JJ,VBG,NN,4
eyeXcatching,firstXyear,rate,12,JJ,JJ,NN,AB,6
X,offer,rates,fixed,X,VBP,NNS,VBN,6
committee,Xs,X,X,NN,POS,X,X,3
seeking,high,rates,contributed,VBG,JJ,NNS,VBD,6
securities,pay,periodically,X,NNS,VB,RB,X,6
X,current,bonds,due,X,JJ,NNS,JJ,6
X,X,bonds,treated,X,X,NNS,VBN,6
must,make,shortfalls,cash,MD,VB,NNS,NN,6
express,great,knowing,redwoods,VBP,JJ,VBG,NNS,1
fears,uXkX,rates,might,NNS,NP,NNS,MD,6
said,prospective,rate,increase,VBD,JJ,NN,NN,6
X,investor,yesterday,centered,X,NN,NN,VBD,1
X,investor,X,blossomed,X,NN,X,VBD,1
west,german,rates,would,JJ,JJ,NNS,MD,6
buying,brewing,leisure,X,VBG,NN,NN,X,5
