m-2,m-1,m1,m2,c-2,c-1,c1,c2,sens
total,return,income,X,JJ,NN,NN,X,6
X,rising,rates,also,X,VBG,NNS,RB,6
nXt,pay,mature,X,RB,VB,VBP,X,6
months,rising,rates,X,NNS,VBG,NNS,X,6
signs,X,rates,remain,NNS,X,NNS,VB,6
push,shortXterm,rates,higher,VB,JJ,NNS,RBR,6
pursue,personal,X,X,VB,JJ,X,X,3
sales,meet,payments,valued,NNS,VB,NNS,VBN,6
incurred,hefty,expense,debt,VBN,JJ,NN,NN,6
moves,academic,X,X,VBZ,JJ,X,X,1
maintaining,security,property,participating,VBG,NN,NN,VBG,5
studies,draw,colleges,fall,NNS,VBP,NNS,NN,1
japanese,sheer,X,XX,NP,JJ,X,XX,1
increase,german,rates,X,NN,JJ,NNS,X,6
XX,shortXterm,rates,picked,XX,JJ,NNS,VBN,6
managers,think,rates,headed,NNS,VBP,NNS,VBN,6
yield,assumes,rate,remains,NN,VBZ,NN,VBZ,6
3,PERCENT,X,X,AB,NN,X,X,6
professional,personal,X,X,JJ,JJ,X,X,3
agreed,buy,payXperXview,network,VBD,VB,NP,NP,5
XX,reXevaluate,goals,explore,XX,JJ,NNS,VB,3
sensitive,changes,rates,X,JJ,NNS,NNS,X,6
brought,high,rates,rising,VBD,JJ,NNS,VBG,6
X,stirred,among,bottomXfishers,X,VBD,IN,NNS,1
X,exchange,reconstructed,restaurant,X,NN,JJ,NN,5
funds,important,X,X,NNS,JJ,X,X,4
newspaper,perth,bell,resources,NN,NP,NP,NP,5
accrued,unpaid,X,together,JJ,JJ,X,RB,6
failed,make,payments,nearly,VBD,VB,NNS,RB,6
economy,foreign,rates,X,NN,JJ,NNS,X,6
midwest,general,keeping,american,NP,JJ,VBG,JJ,1
policy,allow,rates,somewhat,NN,VB,NNS,RB,6
possible,increase,rates,X,JJ,NN,NNS,X,6
issue,stirring,among,safety,NN,VBG,IN,NN,1
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
said,high,rates,recent,VBD,JJ,NNS,JJ,6
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
plus,accrued,novX,15,CC,JJ,NP,AB,6
way,revival,theology,religious,NN,NN,NN,JJ,1
vast,difference,X,gleefully,JJ,NN,X,RB,1
X,unsecured,rates,prime,X,JJ,NNS,JJ,6
government,reduced,rate,X,NN,JJ,NN,X,6
exploit,congressional,bolar,X,VB,JJ,NP,X,1
find,study,X,XX,VB,NN,X,XX,2
counting,increasing,americans,things,VBG,VBG,NPS,NNS,1
nepalese,expressed,obtaining,weapons,NPS,VBN,VBG,NNS,1
acquire,controlling,X,management,VB,JJ,X,NN,5
cut,shortXterm,rates,X,VB,JJ,NNS,X,6
able,cut,rates,fast,JJ,VB,NNS,RB,6
raise,key,rates,least,VB,JJ,NNS,JJS,6
X,higher,rates,abroad,X,JJR,NNS,RB,6
offering,best,mrX,wisner,NN,JJS,NP,NP,4
extent,reported,earned,foreignXexchange,NN,VBN,VBN,NN,6
policy,pushing,rates,march,NN,VBG,NNS,NP,6
closely,influenced,rates,purchases,RB,VBN,NNS,NNS,6
ford,Xs,european,luxuryXcar,NP,POS,JJ,NN,1
companies,expressed,buying,significant,NNS,VBN,VBG,JJ,1
shortages,keep,pumped,nintendo,NNS,VBP,VBD,NP,1
X,average,rate,inched,X,JJ,NN,VBD,6
X,especially,declining,property,X,RB,VBG,NN,5
york,franchise,X,1X9,NP,NN,X,AB,5
tennessee,large,biggest,market,NP,JJ,JJS,NN,5
metromedia,Xs,X,analysts,NP,POS,X,NNS,5
PERCENT,voting,45X67,PERCENT,NN,NN,AB,NN,5
PERCENT,equity,new,york,NN,NN,NP,NP,5
PERCENT,voting,45,PERCENT,NN,NN,AB,NN,5
PERCENT,equity,franchise,X,NN,NN,NN,X,5
X,expressed,attaining,remainder,X,VBN,VBG,NN,1
new,york,X,X,NP,NP,X,X,5
metromedia,Xs,X,bellsouth,NP,POS,X,NP,5
metromedia,Xs,X,XX,NP,POS,X,XX,5
X,addition,las,vegas,X,NN,NP,NP,5
individuals,hold,partnerships,everything,NNS,VBP,NNS,NN,5
numbers,payers,dividends,X,NNS,NNS,NNS,X,6
X,private,exempt,funds,POS,JJ,JJ,NNS,3
million,equity,australian,operations,AB,NN,JJ,NNS,5
possible,uXkX,rate,increase,JJ,NP,NN,NN,6
attracted,investor,strong,earning,VBD,NN,JJ,NN,1
higher,uXkX,rates,still,JJR,NP,NNS,RB,6
worry,effect,rates,federal,VBP,NN,NNS,NP,6
considerable,investor,X,X,JJ,NN,X,X,1
XX,indicated,investors,X,XX,VBN,NNS,X,1
deferred,february,charge,promotion,VBN,NP,NN,NN,6
company,pursue,X,X,NN,VB,X,X,3
mark,anticipation,rate,increase,NN,NN,NN,NN,6
resigned,pursue,X,X,VBD,VB,X,X,3
11X4,PERCENT,company,anticipation,AB,NN,NN,NN,5
X,X,financial,group,X,X,JJ,NN,1
buying,optimism,rates,may,NN,NN,NNS,MD,6
glimmers,retail,since,got,NNS,JJ,IN,VBD,1
consider,lowering,rates,new,VB,VBG,NNS,JJ,6
speculation,lower,rates,X,NN,JJR,NNS,X,6
outlook,lower,rates,X,NN,JJR,NNS,X,6
X,shortXterm,rates,fell,X,JJ,NNS,VBD,6
winning,net,cost,X,VBG,JJ,NN,X,6
occidental,petroleum,oil,gas,NP,NP,NN,NN,5
X,lower,cost,resulting,X,JJR,NN,VBG,6
nominations,indications,specific,areas,NNS,NNS,NN,NNS,1
areas,generated,X,X,NNS,VBD,X,X,1
X,X,area,expected,X,X,NN,VBN,1
Xs,happening,rates,general,VBZ,VBG,NNS,JJ,6
production,coX,five,offshore,NP,NP,AB,JJ,5
losses,caused,payments,debt,NNS,VBN,NNS,NN,6
given,banks,loans,used,VBN,NNS,NNS,VBN,6
postpone,cash,payments,X,VBP,NN,NNS,X,6
sell,cellular,southeast,X,VB,JJ,NP,X,5
bush,Xs,cw,ban,NP,POS,NP,NN,1
uXsX,national,headed,possibly,NP,JJ,VBN,RB,4
PERCENT,insurance,cieX,de,NN,NN,NP,NP,5
end,speculative,led,flurries,VB,JJ,VBN,NNS,1
led,flurries,stock,past,VBN,NNS,NN,JJ,1
muchXcoveted,insurance,hands,powerful,JJ,NN,NNS,JJ,5
existing,french,new,holding,VBG,JJ,JJ,VBG,5
fixed,rate,X,put,VBN,NN,X,VB,6
said,domestic,rates,dropped,VBD,JJ,NNS,VBN,6
X,uXsX,lies,continuing,X,NP,VBZ,VBG,4
Xs,industrialXgas,using,proceeds,POS,JJ,VBG,NNS,5
X,annualized,rates,certain,X,VBN,NNS,JJ,6
generated,heavy,payments,depreciation,VBN,JJ,NNS,NN,6
rothschild,sold,general,partner,NP,VBD,JJ,NN,5
planning,raise,10,PERCENT,VBG,VB,AB,NN,5
corpX,signals,handicapped,workers,NP,VBZ,JJ,NNS,1
given,pushing,rates,X,VBN,VBG,NNS,X,6
sperandeo,expects,rates,rise,NP,VBZ,NNS,VB,6
148,million,several,oil,AB,AB,JJ,NN,5
PERCENT,working,hartzog,draw,NN,VBG,NP,NP,5
give,company,2X100,oil,VB,NN,AB,NN,5
6X5,million,payments,due,AB,AB,NNS,JJ,6
british,thread,could,antiXcompetitive,JJ,NN,MD,JJ,5
tax,minority,X,rose,NN,NN,X,VBD,5
X,minority,extraordinary,items,X,NN,JJ,NNS,5
par,plus,accrued,redemption,NN,CC,VBN,NN,6
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
huge,amounts,dollar,Xs,JJ,NNS,NN,POS,6
slows,X,rates,fall,VBZ,X,NNS,VB,6
payments,minority,rose,1X475,NNS,NN,VBD,AB,5
payment,base,plus,participation,NN,JJ,CC,NN,6
accounted,pooling,subject,approval,VBN,NN,JJ,NN,5
supply,reduces,rates,X,NN,VBZ,NNS,X,6
bundesbank,raise,rates,week,NP,VB,NNS,NN,6
X,higher,rates,abroad,X,JJR,NNS,RB,6
cut,uXsX,rates,part,VB,NP,NNS,NN,6
high,X,rates,risen,JJ,X,NNS,VBN,6
seeking,postpone,payments,nXt,VBG,VB,NNS,RB,6
colleagues,expressed,lower,capitalXgains,NNS,VBN,JJR,NNS,1
instead,paying,X,60,RB,VBG,X,AB,6
PERCENT,insurance,france,Xs,NN,NN,NP,POS,5
fears,higher,rates,coming,NNS,JJR,NNS,VBG,6
concerns,uXkX,rates,may,NNS,NP,NNS,MD,6
meeting,damping,stock,trading,NN,VBG,NN,NN,1
X,X,rates,moved,X,X,NNS,VBD,6
west,german,rates,X,JJ,JJ,NNS,X,6
back,taxes,claimed,favorable,JJ,NNS,VBN,JJ,6
break,cash,payments,X,NN,NN,NNS,X,6
20,PERCENT,call,meeting,AB,NN,VB,NN,5
dealers,lost,franchise,X,NNS,VBN,NN,X,1
focused,likelihood,rate,increase,VBN,NN,NN,NN,6
X,without,rate,increase,X,IN,NN,NN,6
additional,gains,rates,would,JJ,NNS,NNS,MD,6
PERCENT,working,acreage,X,NN,JJ,NN,X,5
60,PERCENT,aluminum,X,AB,NN,NN,X,5
acquire,controlling,harleyXdavidson,seek,VB,VBG,NP,VB,5
explaining,soviet,keen,works,VBG,JJ,JJ,NNS,1
operating,best,adoptee,X,VBG,JJS,NN,X,4
netherlandsXbased,hcs,software,hardware,JJ,NP,NN,NN,5
either,principal,payments,X,DT,NN,NNS,X,6
nXt,paid,mediumXterm,longXterm,RB,VBD,JJ,JJ,6
XX,security,assets,extent,XX,NN,NNS,NN,5
children,paying,excess,debt,NNS,VBG,JJ,NN,6
value,mortgage,deduction,15,NN,NN,NN,AB,6
cir,raised,olivetti,41,NP,VBD,NP,AB,5
recent,unwelcome,stock,X,JJ,JJ,NN,X,1
settlement,tax,obligations,resulting,NN,NN,NNS,VBG,6
deferred,recognition,income,earned,VBN,NN,NN,VBN,6
malato,accrued,end,suspension,NP,JJ,VB,NN,6
consumers,X,taxes,totals,NNS,X,NNS,VBZ,6
XX,best,shareowners,X,XX,JJS,NNS,X,4
dexter,reduced,grafil,1987,NP,VBD,NP,AB,5
doughnut,rate,X,X,NN,NN,X,X,6
X,equity,calabasas,X,POS,NN,NP,X,5
half,high,rates,crimp,NN,JJ,NNS,VB,6
protection,swings,rates,certain,NN,NNS,NNS,JJ,6
enough,information,potential,foreign,JJ,NN,JJ,JJ,2
X,lack,latest,bad,X,NN,JJS,JJ,1
inflationXadjusted,X,rates,X,JJ,X,NNS,X,6
raised,overnight,rate,government,VBD,JJ,NN,NN,6
energy,engineering,X,said,NN,NN,X,VBD,5
allowed,domestic,rates,fall,VBN,JJ,NNS,VB,6
X,pushing,rates,march,X,VBG,NNS,NP,6
X,X,X,coverage,X,X,X,NN,6
cause,change,rate,policy,VB,NN,NN,NN,6
holding,pattern,rates,meeting,VBG,NN,NNS,NN,6
X,carries,rate,14,X,VBZ,NN,AB,6
increase,debt,expense,X,VB,NN,NN,X,6
big,drop,rates,dow,JJ,NN,NNS,NP,6
X,X,rates,declined,X,X,NNS,VBD,6
percentageXpoint,drop,rates,year,JJ,NN,NNS,NN,6
X,shown,uXsX,stocks,X,VBN,NP,NNS,1
5,reaffirmed,acquiring,cooper,AB,VBD,VBG,NP,1
country,much,health,care,NN,RB,NN,NN,4
end,fight,funds,attached,VB,NN,NNS,VBN,1
tobacco,insurance,X,X,NN,NN,X,X,5
X,X,rates,fell,X,X,NNS,VBD,6
X,net,margin,XX,X,JJ,NN,X,6
vaX,X,defense,work,NP,X,NN,NN,5
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
60,PERCENT,kendall,gold,AB,NN,NP,NN,5
manipulates,shortXterm,rates,X,VBZ,JJ,NNS,X,6
X,traces,reforming,fed,X,VBZ,VBG,NP,1
moderate,longXterm,rates,X,JJ,JJ,NNS,X,6
raise,shortXterm,rates,yank,VB,JJ,NNS,VB,6
immediate,drop,rates,financial,JJ,NN,NNS,JJ,6
XX,raising,rates,high,XX,VBG,NNS,JJ,6
money,low,rates,X,NN,JJ,NNS,X,6
prices,shortXterm,rate,futures,NNS,JJ,NN,NNS,6
portend,rise,rates,X,VB,NN,NNS,X,6
X,higher,rates,hurt,X,JJR,NNS,VBP,6
changes,plus,payments,X,NNS,CC,NNS,X,6
X,lowering,rates,enough,X,VBG,NNS,RB,6
soared,speculation,rates,would,VBD,NN,NNS,MD,6
picks,strength,rates,rise,VBZ,NN,NNS,VBP,6
X,expects,rate,federal,X,VBZ,NN,JJ,6
X,real,rates,X,X,JJ,NNS,X,6
yet,growing,western,businesses,RB,VBG,JJ,NNS,1
action,protect,already,notified,NN,VB,RB,VBN,4
XX,Xs,selfXregulator,avoid,XX,VBZ,NN,VB,4
sandner,Xs,abs,shortly,NP,POS,NP,RB,5
1988,indirect,abs,nXt,AB,JJ,NP,RB,5
never,allow,influence,thinking,RB,VB,VB,NN,4
55,PERCENT,business,X,AB,NN,NN,X,5
recent,expressions,company,X,JJ,NNS,NN,X,1
least,equity,X,X,JJS,NN,X,X,5
resigned,pursue,X,X,VBD,VB,X,X,3
personal,community,X,including,JJ,NN,X,VBG,3
german,japanese,rates,damp,JJ,JJ,NNS,VB,6
X,lower,rates,relieve,X,VB,NNS,VB,6
west,german,rates,X,JJ,JJ,NNS,X,6
reckons,uXsX,rates,set,VBZ,NP,NNS,VBN,6
germans,increase,rates,significantly,NPS,VB,NNS,RB,6
resorts,suspended,payments,bonds,NPS,VBN,NNS,NNS,6
rumors,possible,bass,family,NNS,JJ,NP,NN,1
speculation,X,would,nXt,NN,X,MD,RB,1
X,X,rates,climbed,X,X,NNS,VBD,6
steers,market,rates,X,VBZ,NN,NNS,X,6
boost,uXkX,rates,X,NN,NP,NNS,X,6
government,Xs,served,prohibiting,NN,POS,VBN,VBG,4
discuss,common,cutting,capital,VB,JJ,VBG,NN,4
also,expressed,X,X,RB,VBN,X,X,1
select,principal,reduction,options,VB,NN,NN,NNS,6
principal,X,X,X,NN,X,X,X,6
currently,paying,debt,principal,RB,VBG,NN,JJ,6
tax,minority,X,profit,NN,NN,X,NN,5
charges,minority,totaled,X,NNS,NN,VBD,X,5
pressured,high,rates,related,JJ,JJ,NNS,JJ,6
aware,takeover,company,X,JJ,NN,NN,X,1
squeeze,net,margins,XX,NN,JJ,NNS,X,6
Xs,net,margin,narrowed,POS,JJ,NN,VBD,6
X,possible,marketing,drug,X,JJ,VBG,NN,1
american,Xs,deal,motivated,NP,POS,NN,VBN,1
XX,aware,financial,buyers,XX,JJ,JJ,NNS,1
house,capitalize,hong,kong,NN,VB,NP,NP,1
Xs,lot,hong,kong,VBZ,NN,NP,NP,1
uic,attracting,overseas,investors,NP,VBG,JJ,NNS,1
directly,holds,105,40,RB,VBZ,AB,AB,5
biggest,companies,brewing,X,JJS,NNS,NN,X,5
means,protecting,X,X,NN,VBG,X,X,4
pursue,sale,showtime,networks,VB,NN,NP,NPS,5
allow,lower,costs,significantly,VB,VB,NNS,RB,6
fu,Xs,politics,faded,NP,POS,NNS,VBD,1
12,PERCENT,enron,oil,AB,NN,NP,NP,5
mark,iv,X,company,NP,NP,X,NN,1
plus,accrued,redemption,date,CC,JJ,NN,NN,6
X,artra,fashion,jewelry,X,NP,NN,NN,5
merck,research,angiotensin,ii,NP,NN,NN,AB,3
tuesday,X,paid,quarterly,NP,X,VBN,RB,6
X,current,bonds,due,X,JJ,NNS,JJ,6
PERCENT,current,bonds,tentatively,NN,JJ,NNS,RB,6
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
necessarily,best,X,XX,RB,JJS,X,XX,4
X,sparking,otherwise,quiet,X,VBG,RB,JJ,1
yields,rise,rates,fall,NNS,VBP,NNS,VBP,6
prices,drop,rates,soared,NNS,VB,NNS,VBD,6
notes,priced,rate,float,NNS,VBN,NN,VB,6
17,PERCENT,payments,repay,AB,NN,NNS,VB,6
XX,annual,payments,X,XX,JJ,NNS,X,6
meant,smaller,payments,X,VBN,JJR,NNS,X,6
reserve,lower,rates,X,NP,VB,NNS,X,6
counts,revenue,escrow,account,VBZ,NN,NN,NN,6
let,uXsX,rates,slip,VB,NP,NNS,VB,6
foreign,voting,ca,nXt,JJ,NN,MD,RB,5
marked,nervousness,rates,pound,VBN,NN,NNS,NN,6
worries,uXkX,rates,need,NNS,NP,NNS,VB,6
Xs,best,X,XX,VBZ,JJS,X,XX,4
payments,minority,rose,1X91,NNS,NN,VBD,AB,5
majorityXheld,bank,contributed,advance,JJ,NN,VBD,NN,5
showed,open,copper,X,VBD,JJ,NN,X,5
december,open,declined,1X597,NP,JJ,VBD,AB,5
inventories,high,rates,costs,NNS,JJ,NNS,NNS,6
X,largely,income,associated,X,RB,NN,VBN,6
X,warner,protect,X,X,NP,VB,X,4
change,world,rates,X,NN,NN,NNS,X,6
PERCENT,exclusion,bank,loans,NN,NN,NN,NNS,6
gains,X,rates,X,NNS,X,NNS,X,6
harcourt,Xs,bill,roughly,NP,POS,NN,RB,6
14,PERCENT,X,much,AB,NN,X,RB,6
resigned,pursue,X,X,VBD,VB,X,X,3
earned,extra,making,federally,VBD,JJ,VBG,RB,6
law,pay,securities,ever,NN,VB,NNS,RB,6
X,X,pay,exempt,X,X,VBP,JJ,6
principal,lower,rate,bond,NN,JJR,NN,NN,6
leadership,administration,holding,revision,NN,NN,VBG,NN,1
X,stirring,newXissues,market,X,VBG,JJ,NN,1
judged,national,X,X,VBN,JJ,X,X,4
taxable,pension,income,X,JJ,NN,NN,X,6
given,picture,X,especially,VBN,NN,X,RB,2
PERCENT,working,blackstone,oil,NN,VBG,NP,NP,5
10X02,PERCENT,X,X,AB,NN,X,X,5
X,remaining,divided,among,X,JJ,VBN,IN,5
X,voiced,acquiring,stake,X,VBN,VBG,NN,1
X,aware,X,XX,X,JJ,X,XX,1
confirm,deny,companies,nippon,VB,VB,NNS,NP,1
contract,research,income,X,NN,NN,NN,X,6
X,allowing,rates,float,X,VBG,NNS,VB,6
government,loans,rates,inflation,NN,NNS,NNS,NN,6
suggest,higher,rates,horizon,VBP,JJR,NNS,NN,6
offer,higher,rates,desperate,VBP,JJR,NNS,JJ,6
watched,great,medical,scientific,VBN,JJ,JJ,JJ,1
company,diverse,laboratory,supply,NN,JJ,NN,NN,5
50,PERCENT,new,hampshire,AB,NN,NP,NP,5
bear,annual,10X5,PERCENT,VB,JJ,AB,NN,6
country,Xs,name,freeXmarket,NN,POS,NN,NN,4
manufacturer,pursue,X,X,NN,VB,X,X,3
pursue,personal,portugal,X,VB,NP,NP,X,3
X,current,bonds,due,X,JJ,NNS,JJ,6
response,lower,rates,X,NN,JJR,NNS,X,6
holding,company,manufacturing,real,NN,NN,NN,JJ,5
ta,Xs,XX,five,NP,POS,XX,AB,5
bundesbank,push,rates,higher,NP,VB,NNS,RBR,6
tax,minority,X,profit,NN,NN,X,NN,5
high,level,rates,X,JJ,NN,NNS,X,6
plant,higher,expenses,X,NN,JJR,NNS,X,6
taxes,minority,tumbled,half,NNS,NN,VBD,NN,5
possible,conflicts,X,consultant,JJ,NNS,X,NN,4
nXt,best,XX,company,RB,JJS,XX,NN,4
purchase,minority,aXlX,williams,NN,NN,NP,NP,5
49,PERCENT,columbia,X,AB,NN,NP,X,5
3,PERCENT,columbia,X,AB,NN,NP,X,5
company,pursue,X,probably,NN,VB,X,RB,3
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
nation,Xs,one,state,NN,POS,AB,NN,4
state,Xs,protect,management,NN,POS,VB,NN,4
showed,renewed,sea,newfoundland,VBD,JJ,NN,NP,1
X,said,exploration,spurred,X,VBD,NN,VBN,1
stimulate,additional,among,thrifts,VB,JJ,IN,NNS,1
direction,uXkX,rates,corporate,NN,NP,NNS,JJ,6
attention,prospects,rate,increase,NN,NNS,NN,NN,6
thursday,raise,rates,X,NP,VB,NNS,X,6
rise,german,rates,making,NN,JJ,NNS,VBG,6
jitters,domestic,rates,bleak,NNS,JJ,NNS,NN,6
49,PERCENT,owned,cocaXcola,AB,NN,VBN,NP,5
long,Xs,inmates,X,RB,VBZ,NNS,X,2
better,expected,buying,copper,JJR,VBN,VBG,NN,1
bundesbank,boost,rates,octX,NP,VB,NNS,NP,6
shown,little,bond,auction,VBN,JJ,NN,NN,1
deductibility,certain,payments,original,NN,JJ,NNS,JJ,6
Xs,main,maintain,empire,POS,JJ,VB,NN,3
leaving,company,laboratory,supply,VBG,NN,NN,NN,5
raises,key,rates,X,VBZ,JJ,NNS,X,6
operating,profits,quarter,X,NN,NNS,NN,X,6
plus,accrued,X,X,CC,VBN,X,X,6
personal,taxes,borrowings,X,JJ,NNS,NNS,X,6
stable,china,united,states,JJ,NP,NP,NPS,4
stable,china,united,states,JJ,NP,NP,NPS,4
fully,diluted,fell,43X2,RB,JJ,VBD,AB,5
PERCENT,indirect,ralphs,grocery,NN,JJ,NP,NP,5
campeau,bears,9X875,PERCENT,NP,VBZ,AB,NN,6
ultimately,best,clients,X,RB,JJS,NNS,X,4
X,shorterXterm,X,selling,X,JJR,X,VBG,4
Xs,X,regarding,marine,POS,X,VBG,NP,4
X,average,rate,rose,X,JJ,NN,VBD,6
X,deduct,paid,loan,X,VB,VBN,NN,6
reduced,reported,dividend,income,VBD,JJ,NN,NN,6
principal,plus,finally,taxed,NN,CC,RB,VBN,6
iraXplus,X,X,tax,NN,X,X,NN,6
protect,personal,X,X,VB,JJ,X,X,4
X,best,XX,making,POS,JJS,XX,VBG,4
67,PERCENT,X,X,AB,NN,X,X,5
west,german,rates,X,JJ,JJ,NNS,X,6
consider,raising,rates,current,VB,VBG,NNS,JJ,6
advocated,raising,rates,japan,VBN,VBG,NNS,NP,6
X,domestic,rates,country,X,JJ,NNS,NN,6
1X6,billion,payment,international,AB,AB,NN,JJ,6
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
pursue,business,X,X,VB,NN,X,X,3
pursue,business,X,X,VB,NN,X,X,3
terrible,conflict,XX,among,JJ,NN,XX,IN,4
X,X,rising,fast,X,X,VBG,RB,1
aside,buying,singleXcountry,stock,RB,VBG,JJ,NN,1
5,PERCENT,placing,remaining,AB,NN,VBG,VBG,5
pay,higher,rates,big,VB,JJR,NNS,JJ,6
spurred,rush,advertisers,publishers,VBN,NN,NNS,NNS,1
would,drive,rates,X,MD,VB,NNS,X,6
long,current,term,bonds,JJ,JJ,NN,NNS,6
consider,raising,rates,way,VB,VBG,NNS,NN,6
notes,drew,diverse,set,NNS,VBD,JJ,NN,1
concerns,uXkX,rate,increases,NNS,NP,NN,NNS,6
fears,rising,rates,X,NNS,VBG,NNS,X,6
whether,current,rates,consistent,IN,JJ,NNS,JJ,6
banks,X,margins,X,NNS,POS,NNS,X,6
priority,lowering,rates,X,NN,VBG,NNS,X,6
exploit,local,reach,beyond,VB,JJ,VB,IN,4
many,economic,driving,mrX,DT,JJ,VBG,NP,3
51,PERCENT,three,independent,AB,NN,AB,JJ,5
paper,retailing,X,including,NN,NN,X,VBG,5
X,short,rose,2X7,X,JJ,VBD,AB,5
reinforcing,belief,rates,remain,VBG,NN,NNS,VB,6
43X7,PERCENT,leadXzinc,producer,AB,NN,JJ,NN,5
X,controlling,goldXmining,operations,X,VBG,JJ,NNS,5
incX,X,franklin,resources,NP,X,NP,NPS,5
50,PERCENT,puna,geothermal,AB,NN,NP,NP,5
students,X,X,X,NNS,POS,X,X,1
PERCENT,limitedXpartner,kaneb,pipe,NN,JJ,NP,NP,5
X,pipeline,X,X,X,NN,X,X,5
government,Xs,protected,public,NN,POS,VBN,JJ,4
holding,company,broadcasting,X,VBG,NN,NN,X,5
raise,key,rates,X,VB,JJ,NNS,X,6
higher,domestic,rates,usually,JJR,JJ,NNS,RB,6
open,realignment,rates,X,JJ,NN,NNS,X,6
X,every,payment,date,X,DT,NN,NN,6
also,disclosed,selling,caldor,RB,VBN,VBG,NP,1
uXkX,retailing,existing,shareholders,NP,VBG,VBG,NNS,5
limited,partner,kaneb,pipe,VBD,NN,NP,NP,5
X,short,large,small,X,JJ,JJ,JJ,5
otc,short,posted,last,NP,JJ,VBD,JJ,5
X,short,rose,1,X,JJ,VBD,AB,5
otc,short,latest,month,NP,JJ,JJS,NN,5
decline,short,new,york,NN,JJ,NP,NP,5
X,short,acclaim,entertainment,X,JJ,NP,NP,5
X,short,first,executive,X,JJ,NP,NP,5
saw,short,jump,77,VBD,JJ,NN,AB,5
X,short,novell,X,X,JJ,NP,X,5
X,short,number,shares,X,JJ,NN,NNS,5
surge,short,indicates,speculation,NN,JJ,VBZ,NN,5
base,short,healthy,X,NN,JJ,JJ,X,5
compiles,short,data,two,VBZ,JJ,NNS,AB,5
X,short,2X391,national,X,JJ,AB,NP,5
X,short,totaled,nearly,X,JJ,VBD,RB,5
issues,short,position,least,NNS,JJ,NN,JJS,5
said,immediate,buying,foreign,VBD,JJ,VBG,JJ,1
installations,conflict,audit,work,NNS,NN,NN,NN,4
XX,nXt,acquiring,phone,XX,RB,VBG,NN,1
X,X,rates,full,X,X,NNS,JJ,6
X,average,rate,30Xyear,X,JJ,NN,JJ,6
X,X,rates,general,X,X,NNS,JJ,6
month,X,rates,climbed,NN,X,NNS,VBD,6
lawyers,represent,face,additional,NNS,VB,VBP,JJ,4
going,happen,rates,X,VBG,VB,NNS,X,6
economy,keep,rates,falling,NN,VB,NNS,VBG,6
deal,later,rates,fall,NN,RB,NNS,VBP,6
significantly,less,would,fixed,RB,JJR,MD,VBN,6
comes,think,rates,headed,VBZ,VBP,NNS,VBN,6
PERCENT,equity,block,21024a,NN,NN,NP,NP,5
X,base,rates,remain,POS,NN,NNS,VB,6
government,raised,rates,10,NN,VBN,NNS,AB,6
lawson,reiterated,rates,remain,NP,VBD,NNS,VB,6
government,raise,rates,X,NN,VB,NNS,X,6
particularly,higher,rates,could,RB,JJR,NNS,MD,6
respond,high,rates,X,VB,JJ,NNS,X,6
X,annualized,rates,certain,X,VBN,NNS,JJ,6
