m-2,m-1,m1,m2,c-2,c-1,c1,c2,sens
received,promised,payments,X,VBD,VBN,NNS,X,6
X,exchange,smallest,loan,X,NN,JJS,NN,6
cellular,telephone,bellsouth,X,JJ,NN,NP,X,5
magistrate,Xs,understandable,X,NN,POS,JJ,X,1
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
X,concern,many,businesses,X,NN,JJ,NNS,5
carrying,lower,rate,ranking,VBG,JJR,NN,VBG,6
debt,X,currently,payable,NN,X,RB,JJ,6
X,pay,form,additional,X,VBP,NN,JJ,6
might,allow,rates,fall,MD,VB,NNS,VB,6
tolerate,rise,rates,X,VB,NN,NNS,X,6
X,higher,rates,seem,X,JJR,NNS,VBP,6
catch,overdue,payments,X,VB,JJ,NNS,X,6
million,behind,payments,commercialXbank,AB,IN,NNS,JJ,6
reducing,debt,X,according,VBG,NN,X,VBG,6
foreignXbank,debt,payments,X,JJ,NN,NNS,X,6
publisher,special,magazines,X,NN,JJ,NNS,X,3
firms,X,europe,generated,NNS,POS,NP,VBN,1
Xs,longXterm,china,X,POS,JJ,NP,X,4
Xs,conflict,never,disclosed,POS,NN,RB,VBN,4
oryx,sold,107,oil,NP,VBD,AB,NN,5
trading,euroyen,rate,futures,VBG,NP,NN,NNS,6
bidders,expressed,buying,delaware,NNS,VBD,VBG,NP,1
wertheim,schroder,X,X,NP,NP,X,X,5
shortXterm,domestic,rates,higher,JJ,JJ,NNS,JJR,6
fluctuations,higher,rates,X,NNS,JJR,NNS,X,6
receive,buying,following,friday,VB,NN,VBG,NP,1
declined,lack,fresh,positions,VBD,NN,JJ,NNS,1
continued,lively,foreign,investors,VBD,JJ,JJ,NNS,1
apparent,reprieve,rate,speculation,JJ,NN,NN,NN,6
paris,X,rate,concerns,NP,X,NN,NNS,6
higher,european,rates,near,JJR,JJ,NNS,JJ,6
company,certain,X,X,NN,JJ,X,X,5
payments,minority,X,jumped,NNS,NN,X,VBD,5
PERCENT,voting,united,X,NN,NN,NP,X,5
washington,X,building,capitol,NP,X,VBG,NP,1
care,public,served,XX,NN,JJ,VBN,XX,4
might,raise,rates,X,MD,VB,NNS,X,6
uXsX,inflationXadjusted,rates,high,NP,JJ,NNS,JJ,6
dollar,lowering,rates,clearly,NN,VBG,NNS,RB,6
raise,domestic,rates,uXsX,VB,JJ,NNS,NP,6
60,PERCENT,cit,group,AB,NN,NP,NP,5
beyond,snackXfood,X,X,IN,NN,X,X,5
XX,growing,among,precious,XX,VBG,IN,JJ,1
35,PERCENT,bought,publicly,AB,NN,VBD,RB,5
quadrum,X,financial,services,NP,X,JJ,NNS,5
swap,markets,rates,currencies,NN,NNS,NNS,NNS,6
foreign,buying,X,X,JJ,NN,X,X,1
seen,emerging,twoXyear,fourXyear,VBN,VBG,JJ,JJ,1
show,strong,twoXyear,notes,VB,JJ,JJ,NNS,1
saw,lot,lomas,paper,VBD,NN,NP,NN,1
bank,raise,rates,sometime,NN,VB,NNS,RB,6
companies,expressed,buying,unit,NNS,VBN,VBG,NN,1
oakes,said,insurers,showed,NP,VBD,NNS,VBN,1
actively,maintain,XX,160,RB,VBP,X,AB,5
beautiful,love,drX,kulani,JJ,NN,NP,NP,3
individual,abilities,X,aspiring,JJ,NNS,X,JJ,3
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
outlays,except,payments,X,NNS,IN,NNS,X,6
unable,meet,payments,X,JJ,VB,NNS,X,6
north,american,unilateralist,tendencies,JJ,JJ,JJ,NNS,4
manufacturing,marketing,X,X,NN,NN,X,X,5
fed,bring,rates,little,NP,VB,NNS,JJ,6
primarily,high,rates,reduced,RB,JJ,NNS,JJ,6
earning,healthy,rate,campeauXrelated,VBG,JJ,NN,JJ,6
rumors,possible,jaguar,X,NNS,JJ,NP,X,1
Xs,social,stop,shifting,VBZ,JJ,VB,VBG,4
5,PERCENT,rate,bonds,AB,NN,NN,NNS,6
Xs,best,X,X,POS,JJS,X,X,4
could,resume,payments,X,MD,VB,NNS,X,6
representation,local,congress,political,NN,JJ,NP,JJ,4
say,local,receive,hearing,VB,JJ,VBP,NN,4
longer,financial,agency,X,RB,JJ,NN,X,5
either,belowXmarket,rate,discount,CC,JJ,NN,NN,6
reduce,high,rates,pay,VB,JJ,NNS,VB,6
nonetheless,X,rates,remain,RB,X,NNS,VBP,6
years,without,X,X,NNS,IN,X,X,6
agreement,acquire,cooker,participate,NN,VB,NP,VB,5
fund,attracted,japanese,X,NP,VBN,NPS,X,1
also,sparked,big,board,RB,VBN,NP,NP,1
15,PERCENT,sybase,incX,AB,NN,NP,NP,5
acquired,minority,another,closely,VBD,NN,DT,RB,5
fired,X,payments,nXt,VBN,X,NNS,RB,6
quick,cut,rates,summer,JJ,VB,NNS,NN,6
bring,higher,rates,X,VB,JJR,NNS,X,6
shareholders,X,X,new,NNS,POS,X,JJ,4
principally,compounding,divestiture,nonXbanking,RB,NN,NN,JJ,6
small,increases,rates,X,JJ,NNS,NNS,X,6
videoXdistribution,film,netherlands,X,NN,NN,NP,X,5
accrued,unpaid,redemption,date,JJ,JJ,NN,NN,6
speculation,widespread,rates,drop,NN,JJ,NNS,VB,6
expect,lower,rates,fall,VBP,JJR,NNS,NN,6
high,uXsX,rates,keeping,JJ,NP,NNS,VBG,6
predicting,lower,rates,next,VBG,JJR,NNS,JJ,6
expect,lower,rates,low,VBP,JJR,NNS,RB,6
would,drive,rates,X,MD,VB,NNS,X,6
traders,fear,rates,nowhere,NNS,VBP,NNS,RB,6
contrarians,right,rates,soon,NNS,JJ,NNS,RB,6
Xre,appreciative,shown,X,VBP,JJ,VBN,X,1
shareholder,employee,X,X,NN,NN,X,X,4
failed,pay,due,septX,VBD,VB,JJ,NP,6
treated,pooling,X,combines,VBN,NN,X,VBZ,5
acquire,controlling,implement,reorganization,VB,JJ,VB,NN,5
exhibited,exceptional,helping,shareholders,VBD,JJ,VBG,NNS,1
inflation,lowered,rates,X,NN,VBD,NNS,X,6
inflation,lowered,rates,X,NN,VBD,NNS,X,6
reserve,cut,rates,reduce,NP,VB,NNS,VB,6
X,absence,rate,changes,X,NN,NN,NNS,6
XX,pursue,X,X,XX,VB,X,X,3
shares,beneficial,X,via,NNS,JJ,X,IN,5
limited,partnership,X,via,NP,NP,X,IN,5
PERCENT,voting,united,X,NN,JJ,NP,X,5
17X33,billion,last,month,AB,AB,JJ,NN,6
sold,half,mitsubishi,motors,VBD,NN,NP,NPS,5
legal,fees,judgment,X,JJ,NNS,NN,X,6
45,PERCENT,korea,industrial,AB,NN,NP,NP,5
buyer,equity,acquired,X,NN,NN,VBD,X,5
X,investor,summit,technology,X,NN,NP,NP,1
gm,raised,rates,cutXrate,NP,VBN,NNS,JJ,6
X,investor,mainly,targeted,X,NN,RB,VBN,1
directions,domestic,rates,X,NNS,JJ,NNS,X,6
XX,keeping,rates,high,XX,VBG,NNS,JJ,6
essential,national,concentrating,making,JJ,JJ,VBG,VBG,4
long,entrenched,XX,something,RB,VBN,X,NN,4
west,german,rates,X,JJ,JJ,NNS,X,6
forcing,market,rates,summer,VBG,NN,NNS,NN,6
west,german,rates,still,JJ,JJ,NNS,RB,6
west,purchased,uXkX,cable,NP,VBD,NP,NN,5
interpreted,lack,international,markets,VBN,NN,JJ,NNS,1
Xd,protect,X,X,MD,VB,X,X,4
payments,minority,rose,15,NNS,NN,VBD,AB,5
move,let,rates,fall,NN,VB,NNS,VB,6
steadily,pushed,rates,curb,RB,VBD,NNS,VB,6
payments,minority,nearly,tripled,NNS,NN,RB,VBD,5
X,look,rate,XX,X,NN,NN,XX,6
X,X,rates,fluctuate,X,X,NNS,VB,6
pay,principal,never,went,VB,NN,RB,VBD,6
director,concern,engineering,financial,NN,NN,NN,JJ,5
XX,would,done,X,X,MD,VBN,X,4
holding,company,coating,products,VBG,NN,NN,NNS,5
continued,generate,X,X,VBN,VB,X,X,1
said,retail,bonds,dried,VBD,JJ,NNS,VBN,1
determined,best,shareholders,employees,VBN,JJS,NNS,NNS,4
position,rising,rates,1987,NN,VBG,NNS,AB,6
signal,X,process,control,NP,X,NN,NN,5
multinational,giant,including,communications,JJ,NN,VBG,NNS,5
note,settlement,X,XX,VB,NN,X,XX,1
XX,supreme,XX,may,XX,NN,XX,MD,4
X,short,month,ended,X,JJ,NN,VBD,5
X,short,slipped,547X347X585,X,JJ,VBD,AB,5
X,short,reached,51X887X168,X,JJ,VBD,AB,5
X,short,number,shares,X,JJ,NN,NNS,5
increase,short,bullish,borrowed,NN,JJ,JJ,VBN,5
fluctuation,short,certain,stocks,NN,JJ,JJ,NNS,5
board,short,ratio,rose,NP,JJ,NN,VBD,5
total,short,position,X,JJ,JJ,NN,X,5
drop,short,volume,panhandle,NN,JJ,NN,NP,5
issues,short,position,least,NNS,JJ,NN,JJS,5
take,special,X,X,VB,JJ,X,X,1
payments,minority,rose,15,NNS,NN,VBD,AB,5
high,uXkX,rates,rising,JJ,NP,NNS,VBG,6
billion,earnings,X,taxes,AB,NNS,X,NNS,6
X,net,expenses,X,X,JJ,NNS,X,6
6X25,PERCENT,rate,X,AB,NN,NN,X,6
unemployment,outrank,rates,economic,NN,VBP,NNS,JJ,6
X,wide,nXt,reflected,POS,JJ,RB,VBN,3
X,minority,X,preferred,X,NN,X,VBN,5
Xs,longXterm,remain,independent,POS,JJ,VB,JJ,4
motor,Xs,jaguar,continued,NP,POS,NP,VBD,1
continued,stir,foreign,car,VBD,VB,JJ,NN,1
reserve,lower,rates,XX,NP,JJR,NNS,X,6
cut,boosting,rates,time,NN,VBG,NNS,NN,6
currencies,domestic,rates,remained,NNS,JJ,NNS,VBD,6
west,germany,rates,X,NP,NP,NNS,X,6
motor,announced,earlier,week,NP,VBD,RBR,NN,1
15,PERCENT,XX,valued,AB,NN,X,VBN,5
painewebber,Xs,business,hud,NP,POS,NN,NP,1
possible,conflict,X,painewebber,JJ,NN,X,NP,4
XX,conflict,arise,X,XX,NN,VB,X,4
mae,X,preserving,lowXincome,NP,X,VBG,JJ,4
federal,pay,money,borrowed,NP,VB,NN,VBN,6
leave,german,rates,unchanged,VB,JJ,NNS,JJ,6
raise,german,rates,gX7,VB,JJ,NNS,NP,6
cellular,telephone,bellsouth,move,JJ,NN,NP,NN,5
left,important,rates,unchanged,VBD,JJ,NNS,JJ,6
eventually,push,rates,higher,RB,VB,NNS,JJR,6
based,XX,indicated,XX,VBN,XX,VBN,XX,1
week,comes,credited,funds,NN,VBZ,VBN,NNS,6
XX,pursue,X,X,XX,VB,X,X,3
X,westinghouse,electrical,products,X,NP,JJ,NNS,5
Xs,best,aXm,Xs,VBZ,JJS,NP,POS,4
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
roberts,missed,payments,bonds,NP,VBN,NNS,NNS,6
fees,larger,rates,1,NNS,JJR,NNS,AB,6
wrongXway,bet,rates,X,JJ,NN,NNS,X,6
debt,cut,expense,X,NN,VB,NN,X,6
board,short,fell,1X3,NP,JJ,VBD,AB,5
X,hanson,chemicals,X,X,NP,NNS,X,5
32,PERCENT,X,X,AB,NN,X,X,5
wednesday,pursue,X,X,NP,VB,X,X,3
XX,common,common,ownership,XX,JJ,JJ,NN,4
us,money,rates,X,PP,NN,NNS,X,6
purchased,oneXthird,new,japan,VBN,JJ,NP,NP,5
X,also,restaurants,contractXfood,X,RB,NNS,NN,5
conglomerate,whose,steel,X,NN,WPX,NN,X,5
generate,wide,much,publicity,VB,JJ,JJ,NN,1
data,support,opportunity,X,NN,VB,NN,X,1
consumers,X,getting,old,NNS,POS,VBG,JJ,4
drugs,cheaply,seeing,new,NNS,RB,VBG,JJ,4
costs,X,rates,threaten,NNS,X,NNS,VBP,6
X,company,electronics,X,X,NN,NN,X,5
later,sold,olympia,X,RB,VBD,NP,CC,5
caused,divergent,rates,X,VBN,JJ,NNS,X,6
equality,X,rate,british,NN,X,NN,JJ,6
lower,nominal,rates,X,JJR,JJ,NNS,X,6
speculation,possible,jaguar,X,NN,JJ,NP,X,1
acquired,controlling,quantum,1986,VBD,VBG,NP,AB,5
american,home,prescription,overXtheXcounter,NP,NP,NN,JJ,5
appearance,conflict,favoritism,X,NN,NN,NN,X,4
news,general,home,X,NN,JJ,NN,X,2
inflation,sending,rates,soaring,NN,VBG,NNS,VBG,6
loans,lower,rates,X,NNS,JJR,NNS,X,6
acquisition,minority,store,X,NN,NN,NN,X,5
wanted,cap,deductions,lbo,VBD,VB,NNS,NP,6
high,lbo,costs,X,JJ,NP,NNS,X,6
principal,plus,X,X,NN,CC,X,X,6
sale,equity,result,XX,NP,NN,VB,XX,5
germany,boost,rates,today,NP,VB,NNS,NN,6
threats,justify,rate,increase,NNS,VBP,NN,NN,6
instead,peculiar,X,X,RB,JJ,X,X,4
loans,pay,rates,much,NNS,VBP,NNS,JJ,6
Xs,earnings,taxes,X,POS,NNS,NNS,X,6
difficulty,making,payments,unless,NN,VBG,NNS,IN,6
Xs,earnings,taxes,X,POS,NNS,NNS,X,6
X,X,rates,often,X,X,NNS,RB,6
agreed,sell,paramount,communications,VBD,VB,NP,NPS,5
considering,selling,continental,airlines,VBG,VBG,NP,NPS,5
airlines,expressed,buying,share,NPS,VBD,VBG,NN,1
americans,american,scare,uXsX,NPS,JJ,VB,NP,5
protect,uXsX,countries,bolivia,VB,NP,NNS,NP,5
rake,enormous,payments,X,VB,JJ,NNS,X,6
changes,plus,payments,X,NNS,CC,NNS,X,6
plus,accrued,X,would,CC,VBN,X,MD,6
currencies,domestic,rates,discouraged,NNS,JJ,NNS,VBD,6
discouraged,buying,X,traders,VBD,NN,X,NNS,1
expectations,higher,rates,X,NNS,JJR,NNS,X,6
also,attracted,speculation,mergers,RB,VBN,NN,NNS,1
active,institutional,X,X,JJ,JJ,X,X,1
maker,Xs,uXkX,concern,NN,POS,NP,NN,1
concerns,possibility,rate,increase,NNS,NN,NN,NN,6
council,raise,rates,X,NN,VB,NNS,X,6
massive,japanese,X,140,JJ,JJ,X,AB,1
X,major,coming,individual,X,JJ,VBG,JJ,1
said,X,spain,fund,VBD,X,NP,NP,1
recent,dips,rates,X,JJ,NNS,NNS,X,6
pulled,shortXterm,rates,bit,VBD,JJ,NNS,NN,6
lower,uXsX,rates,would,JJR,NP,NNS,MD,6
society,sole,promotion,travel,NN,JJ,NN,NN,3
europe,expressed,plan,X,NP,VBN,NN,X,1
economically,meet,payments,debt,RB,VB,NNS,NN,6
6X25,PERCENT,rate,X,AB,NN,NN,X,6
million,plus,dividends,X,AB,CC,NNS,X,6
mining,industrial,uXkX,X,NN,JJ,NP,X,5
another,easing,rates,fed,DT,NN,NNS,NP,6
X,shortXterm,rates,also,X,JJ,NNS,RB,6
refused,discuss,rates,regularly,VBD,VB,NNS,RB,6
plus,accrued,octX,25,CC,VBN,NP,AB,6
X,rockwell,aerospace,X,X,NP,NN,X,5
X,protect,plaza,commerce,X,VB,NP,NP,5
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
three,special,magazines,X,AB,JJ,NNS,X,3
related,special,magazines,form,VBN,JJ,NNS,VBP,3
pursue,business,X,X,VB,NN,X,X,3
economy,meet,payments,X,NN,VB,NNS,X,6
Xs,X,fast,food,POS,X,JJ,NN,5
X,current,bonds,due,X,JJ,NNS,JJ,6
X,X,bonds,treated,X,X,NNS,VBN,6
X,current,serial,bonds,X,JJ,JJ,NNS,6
PERCENT,current,term,bonds,NN,JJ,NN,NNS,6
stopped,paying,X,person,VBN,VBG,X,NN,6
taxes,minority,advanced,22,NNS,NN,VBD,AB,5
sharply,higher,rates,flagging,RB,JJR,NNS,JJ,6
inflation,raising,rates,X,NN,VBG,NNS,X,6
began,nudging,rates,X,VBD,VBG,NNS,X,6
taxes,minority,X,profit,NNS,NN,X,NN,5
pay,low,rates,X,VB,JJ,NNS,X,6
Xs,dearth,helping,hanwa,VBZ,NN,VBG,NP,1
calmat,Xs,include,concrete,NP,POS,VBP,NN,5
67X7,PERCENT,harriet,oil,AB,NN,NP,NN,5
corpX,brewing,X,X,NP,NN,X,X,5
X,best,XX,making,POS,JJS,XX,VBG,4
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
narrowly,focused,find,advantage,RB,VBN,VBP,NN,3
programs,serve,X,X,NNS,VBP,X,X,3
1X6,billion,payment,due,AB,AB,NN,JJ,6
ability,make,payments,X,NN,VB,NNS,X,6
choose,make,payment,overdue,VB,VB,NN,JJ,6
XX,make,payments,banks,XX,VB,NNS,NNS,6
cuts,debt,payments,present,NNS,NN,NNS,JJ,6
diluted,equity,mrX,campeau,VBN,NN,NP,NP,5
loan,make,payment,due,NN,VB,NN,JJ,6
thinking,higher,rates,banks,VBG,JJR,NNS,NNS,6
without,best,heart,always,IN,JJS,NN,RB,4
dividends,X,new,savings,NNS,X,JJ,NNS,6
recession,drives,rates,X,NN,VBZ,NNS,X,6
Xs,freeing,rates,1979,POS,NN,NNS,AB,6
4X6,million,principal,payment,AB,AB,JJ,NN,6
failed,pay,due,septX,VBN,VB,JJ,NP,6
30,days,payment,missed,AB,NNS,NN,VBN,6
7,million,income,proceeds,AB,AB,NN,NNS,6
mclennan,expressed,cleveland,consulting,NP,VBN,NP,NP,1
attracting,less,smaller,companies,VBG,JJR,JJR,NNS,1
fair,amount,X,X,JJ,NN,X,X,1
X,current,serial,bonds,X,JJ,NN,NNS,6
X,current,bonds,due,X,JJ,NNS,JJ,6
X,current,bonds,priced,X,JJ,NNS,VBN,6
X,current,bonds,due,X,JJ,NNS,JJ,6
acquire,businesses,oil,gas,VB,NNS,NN,NN,5
agreed,buy,effective,septX,VBD,VB,JJ,NP,5
concern,uXsX,X,turned,NN,NP,X,VBD,5
lieu,cash,payments,first,NN,NN,NNS,JJ,6
debt,outstanding,rates,ranging,NN,JJ,NNS,VBG,6
market,domestic,rates,remained,NN,JJ,NNS,VBD,6
attracted,investor,strong,earnings,VBD,NN,JJ,NNS,1
received,buying,earnings,prospects,VBD,NN,NNS,NNS,1
increase,german,rates,nXt,NN,JJ,NNS,RB,6
chances,renewed,rate,reductions,NNS,VBN,NN,NNS,6
X,lower,rates,generally,X,JJR,NNS,RB,6
X,uXsX,rates,decline,X,NP,NNS,NN,6
likely,raise,rates,near,JJ,VB,NNS,JJ,6
X,serve,X,X,X,VBP,X,X,4
deal,keen,aviation,community,NN,JJ,NN,NN,2
jeopardize,public,X,especially,VB,JJ,X,RB,4
combined,voting,20,PERCENT,VBN,NN,AB,NN,5
X,average,rate,fell,X,JJ,NN,VBD,6
studies,great,admiration,X,NNS,JJ,NN,X,1
resources,property,X,tatters,NNS,NN,X,NNS,5
committed,keeping,rates,high,VBD,VBG,NNS,JJ,6
raised,domestic,rates,slow,VBD,JJ,NNS,JJ,6
X,domestic,rates,likely,X,JJ,NNS,JJ,6
used,reduce,bill,X,VBN,VB,NN,X,6
XX,high,rates,changed,XX,JJ,NNS,VBD,6
continued,success,broadening,distribution,JJ,NN,VBG,NN,1
XX,pursue,X,X,XX,VB,X,X,3
bentsen,Xs,encouraging,longXrange,NP,POS,VBG,JJ,1
X,shortXterm,rates,rose,X,JJ,NNS,VBD,6
japan,boost,rates,defend,NP,VB,NNS,VB,6
observed,open,X,number,VBD,JJ,X,NN,5
nXt,lower,rates,anytime,RB,VB,NNS,RB,6
admirers,deflects,major,institutional,NNS,VBZ,JJ,JJ,1
retail,property,uXs,X,NN,NN,NP,X,5
51X7,PERCENT,century,city,AB,NN,NP,NP,5
X,effective,richfield,X,X,JJ,NP,X,5
sold,bookXpublishing,X,including,VBD,NN,X,VBG,5
X,annualized,rates,certain,X,JJ,NNS,JJ,6
company,pursue,X,X,NN,VB,X,X,3
X,principal,obligations,falling,X,NN,NNS,VBG,6
outstanding,minority,two,principal,JJ,NN,AB,JJ,5
Xs,longXrange,X,X,POS,JJ,X,X,4
ownership,less,liquidity,X,NN,JJR,NN,X,1
XX,reduce,charges,business,XX,VB,NNS,NN,6
bad,western,X,XX,JJ,JJ,X,XX,4
X,X,pars,nXt,X,X,NP,RB,5
public,newXfound,capital,gains,JJ,JJ,NN,NNS,1
article,great,X,X,NN,JJ,X,X,1
X,X,rate,margins,X,X,NN,NNS,6
reasonable,amount,X,X,JJ,NN,X,X,6
years,XXX,X,XX,NNS,NN,X,X,6
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
insurance,executive,X,X,NN,NN,X,X,5
fixed,floating,rates,original,JJ,JJ,NNS,JJ,6
60,PERCENT,cit,group,AB,NN,NP,NP,5
received,indications,third,parties,VBN,NNS,JJ,NNS,1
beginning,buying,better,quality,VBG,NN,JJR,NN,1
apple,pursue,X,X,NP,VB,X,X,3
year,Xs,bill,X,NN,POS,NN,X,6
paying,high,X,X,VBG,JJ,X,X,6
company,Xs,charges,X,NN,POS,NNS,X,6
Xs,equity,purchase,reduced,POS,NN,NN,VBN,5
pretax,earnings,depreciation,X,JJ,NNS,NN,X,6
increased,buying,sugar,world,VBN,JJ,NN,NN,1
noted,chance,rate,increases,VBD,NN,NN,NNS,6
likely,raise,rates,following,JJ,VB,NNS,VBG,6
cumulative,bear,one,percentage,JJ,VBP,AB,NN,6
units,make,payment,last,NNS,VB,NN,JJ,6
5,PERCENT,later,X,AB,NN,RB,X,5
2,million,costs,next,AB,AB,NNS,JJ,6
accrued,unpaid,octX,15,VBN,JJ,NP,AB,6
accrued,semiannual,due,octX,VBN,JJ,JJ,NP,6
25X1,PERCENT,matuschka,Xs,AB,NN,NP,POS,5
physicians,X,X,X,NNS,POS,X,X,3
year,generate,anticipated,X,NN,VB,VBN,X,1
X,keen,environmental,issues,X,JJ,JJ,NNS,1
iowa,thrift,real,estate,NP,NN,JJ,NN,1
failed,make,payments,june,VBD,VB,NNS,NP,6
assets,lost,X,X,NNS,VBD,X,X,1
began,nudging,rates,higher,VBD,VBG,NNS,RBR,6
allowing,shortXterm,rates,climb,VBG,JJ,NNS,VB,6
limited,partnership,X,via,NP,NP,X,IN,5
sold,equity,project,american,VBD,NN,NN,NP,5
lack,investor,X,X,NN,NN,X,X,1
extensive,business,china,X,JJ,NN,NP,X,5
government,expressed,keeping,company,NN,VBN,VBG,NN,1
ge,also,broadcasting,X,NP,RB,NN,X,5
unit,missed,payment,due,NN,VBD,NN,JJ,6
said,paid,10,14,VBD,VBD,AB,AB,6
said,aggregate,due,friday,VBD,JJ,JJ,NP,6
likely,alter,rates,ecuXdenominated,JJ,VB,NNS,JJ,6
logical,ecu,rates,higher,JJ,NP,NNS,JJR,6
X,longXterm,rates,since,X,JJ,NNS,IN,6
ecu,market,rate,incorporation,NP,NN,NN,NN,6
X,fluctuations,rates,ecuXdenominated,X,NNS,NNS,JJ,6
XX,human,XX,stories,XX,JJ,XX,NNS,3
X,amount,saved,buyXback,X,NN,VBN,NN,6
foreign,annual,rates,guide,JJ,JJ,NNS,NN,6
18X5,PERCENT,fii,fyffes,AB,NN,NP,NP,5
companies,expressed,X,including,NNS,VBD,X,VBG,1
enough,satisfy,investors,troubled,RB,VB,NNS,VBN,4
increases,held,utility,Xs,NNS,VBN,NN,POS,4
able,make,payments,huge,JJ,VB,NNS,JJ,6
flow,divided,payments,XX,NN,VBN,NNS,X,6
environmental,groups,obtaining,winning,JJ,NNS,VBG,VBG,1
carrying,lower,burden,X,VBG,JJR,NN,X,6
defaulting,heavy,payments,X,VBG,JJ,NNS,X,6
held,burdensome,payments,called,VBN,JJ,NNS,VBN,6
failed,meet,payments,X,VBD,VB,NNS,X,6
big,drop,rates,signs,JJ,NN,NNS,NNS,6
700,million,payments,year,AB,AB,NNS,NN,6
annually,pay,bill,X,RB,VB,NN,X,6
50,PERCENT,earn,ual,AB,NN,VBP,NP,6
customers,X,X,XX,NNS,POS,X,XX,4
plans,boost,newsprint,production,NNS,VB,NN,NN,5
questions,seriousness,making,acquisitions,NNS,NN,VBG,NNS,1
inflation,lower,rates,X,NN,JJR,NNS,X,6
relatively,high,rates,slowing,RB,JJ,NNS,VBG,6
inflation,X,rates,economy,NN,X,NNS,NN,6
X,expressed,buying,part,X,VBN,VBG,NN,1
market,reducing,many,takeover,NN,VBG,JJ,NN,1
medicine,spurred,stock,X,NP,VBN,NN,X,1
india,variable,rate,X,NP,JJ,NN,X,6
70,PERCENT,milford,refinery,AB,NN,NP,NN,5
service,stations,oil,pipeline,NN,NNS,NN,NN,5
time,increased,family,business,NN,VBN,NN,NN,1
made,annual,payment,due,VBD,JJ,NN,JJ,6
particular,reason,paid,last,JJ,NN,VBN,JJ,6
marks,XX,rate,differentials,NNS,XX,NN,NNS,6
X,X,rates,aside,X,X,NNS,RB,6
XX,expressed,acquiring,part,XX,VBN,VBG,NN,1
recent,expressions,preliminary,X,JJ,NNS,JJ,X,1
possible,takeover,company,X,JJ,NN,NN,X,1
sell,healthXcare,part,reorganization,VB,JJ,NN,NN,5
75,PERCENT,fine,homes,AB,NN,NP,NP,5
overdue,principal,payments,almost,JJ,NN,NNS,RB,6
stir,unwanted,crucifix,X,VB,JJ,NN,X,1
television,Xs,alien,landing,NN,POS,JJ,NN,1
able,meet,payments,X,JJ,VB,NNS,X,6
25,PERCENT,rates,bank,AB,NN,NNS,NN,6
narrowing,surplus,X,profits,NN,NN,X,NNS,6
aiming,cut,costs,X,VBG,VB,NNS,X,6
million,year,costs,80,AB,NN,NNS,AB,6
plus,certain,ecuador,X,CC,JJ,NP,X,5
Xs,lack,X,X,POS,NN,X,X,1
XX,lower,rates,discount,XX,JJR,NNS,NN,6
advantage,lower,rates,X,NN,JJR,NNS,X,6
kissinger,Xs,include,limited,NP,POS,VBP,JJ,5
Xs,business,begin,X,POS,NN,VBP,X,3
uXsX,national,X,X,NP,JJ,X,X,4
longXterm,geopolitical,may,risk,JJ,JJ,MD,NN,4
cent,commercial,china,X,NN,JJ,NP,X,5
